Activity_StartDate,Result_Measure,Result_MeasureUnit,Result_Characteristic,ResultAnalyticalMethod_Description,Result_CharacteristicGroup
1970-04-08,96,% passing,Bed sediment particle size,,Sediment
1970-06-18,91,% passing,Bed sediment particle size,,Sediment
1970-10-29,94,% passing,Bed sediment particle size,,Sediment
1973-03-27,56,% passing,Bed sediment particle size,,Sediment
1973-08-13,10,% passing,Bed sediment particle size,,Sediment
1978-09-07,74,% passing,Bed sediment particle size,,Sediment
1979-04-18,41,% passing,Bed sediment particle size,,Sediment
1981-05-14,43,% passing,Bed sediment particle size,,Sediment
1982-04-20,28,% passing,Bed sediment particle size,,Sediment
1983-04-18,50,% passing,Bed sediment particle size,,Sediment
1983-04-18,50,% passing,Bed sediment particle size,,Sediment
1984-06-18,27,% passing,Bed sediment particle size,,Sediment
1985-04-29,43,% passing,Bed sediment particle size,,Sediment
1985-04-29,43,% passing,Bed sediment particle size,,Sediment
1985-09-10,26,% passing,Bed sediment particle size,,Sediment
1985-09-10,26,% passing,Bed sediment particle size,,Sediment
1986-04-29,26,% passing,Bed sediment particle size,,Sediment
1986-09-24,30,% passing,Bed sediment particle size,,Sediment
1987-03-24,37,% passing,Bed sediment particle size,,Sediment
1992-05-29,18,% passing,Bed sediment particle size,,Sediment
1992-09-09,31,% passing,Bed sediment particle size,,Sediment
1993-06-23,7,% passing,Bed sediment particle size,,Sediment
1994-03-30,16,% passing,Bed sediment particle size,,Sediment
1994-06-08,98,% passing,Bed sediment particle size,,Sediment
1996-04-05,39,% passing,Bed sediment particle size,,Sediment
1997-10-08,17,% passing,Bed sediment particle size,,Sediment
1998-03-05,29,% passing,Bed sediment particle size,,Sediment
1998-11-16,25,% passing,Bed sediment particle size,,Sediment
2007-05-17,34,% passing,Bed sediment particle size,"DESCRIPTION: Dry sieve; CITATION(S): Blanchard, S.F., 2003, Water Resources Discipline policy on storage and publication of fluvial-sediment data with updated method codes: U.S. Geological Survey, Office of Surface Water Technical Memorandum No. 2004.01, December 16, 2003, 4 p.",Sediment
2007-07-05,100,% passing,Bed sediment particle size,"DESCRIPTION: Dry sieve; CITATION(S): Blanchard, S.F., 2003, Water Resources Discipline policy on storage and publication of fluvial-sediment data with updated method codes: U.S. Geological Survey, Office of Surface Water Technical Memorandum No. 2004.01, December 16, 2003, 4 p.",Sediment
