agency_cd,site_no,parameter_cd,ts_id,loc_web_ds,year_nu,mean_va,count_nu
USGS,05325000,00060,73412,,1903,5464.0,214
USGS,05325000,00060,73412,,1904,1426.0,335
USGS,05325000,00060,73412,,1905,2775.0,365
USGS,05325000,00060,73412,,1906,5510.0,244
USGS,05325000,00060,73412,,1907,5472.0,244
USGS,05325000,00060,73412,,1908,7809.0,244
USGS,05325000,00060,73412,,1909,5082.0,244
USGS,05325000,00060,73412,,1910,1374.0,365
USGS,05325000,00060,73412,,1911,595.5,365
USGS,05325000,00060,73412,,1912,1214.0,366
USGS,05325000,00060,73412,,1913,1052.0,365
USGS,05325000,00060,73412,,1914,1650.0,365
USGS,05325000,00060,73412,,1915,4814.0,365
USGS,05325000,00060,73412,,1916,5350.0,366
USGS,05325000,00060,73412,,1917,4072.0,365
USGS,05325000,00060,73412,,1918,3015.0,244
USGS,05325000,00060,73412,,1919,7230.0,244
USGS,05325000,00060,73412,,1920,5198.0,244
USGS,05325000,00060,73412,,1921,1458.0,214
USGS,05325000,00060,73412,,1922,1512.0,244
USGS,05325000,00060,73412,,1923,509.1,275
USGS,05325000,00060,73412,,1924,1008.0,244
USGS,05325000,00060,73412,,1925,1031.0,275
USGS,05325000,00060,73412,,1926,877.7,244
USGS,05325000,00060,73412,,1927,2541.0,244
USGS,05325000,00060,73412,,1928,1888.0,306
USGS,05325000,00060,73412,,1929,1444.0,275
USGS,05325000,00060,73412,,1930,947.3,365
USGS,05325000,00060,73412,,1931,266.8,365
USGS,05325000,00060,73412,,1932,1036.0,366
USGS,05325000,00060,73412,,1933,734.0,365
USGS,05325000,00060,73412,,1934,140.7,365
USGS,05325000,00060,73412,,1935,591.8,365
USGS,05325000,00060,73412,,1936,1080.0,366
USGS,05325000,00060,73412,,1937,1625.0,365
USGS,05325000,00060,73412,,1938,2072.0,365
USGS,05325000,00060,73412,,1939,878.7,365
USGS,05325000,00060,73412,,1940,652.4,366
USGS,05325000,00060,73412,,1941,2233.0,365
USGS,05325000,00060,73412,,1942,2551.0,365
USGS,05325000,00060,73412,,1943,4437.0,365
USGS,05325000,00060,73412,,1944,4529.0,366
USGS,05325000,00060,73412,,1945,2968.0,365
USGS,05325000,00060,73412,,1946,3371.0,365
USGS,05325000,00060,73412,,1947,4215.0,365
USGS,05325000,00060,73412,,1948,2504.0,366
USGS,05325000,00060,73412,,1949,2318.0,365
USGS,05325000,00060,73412,,1950,1572.0,365
USGS,05325000,00060,73412,,1951,6014.0,365
USGS,05325000,00060,73412,,1952,5689.0,366
USGS,05325000,00060,73412,,1953,4453.0,365
USGS,05325000,00060,73412,,1954,2014.0,365
USGS,05325000,00060,73412,,1955,1127.0,365
USGS,05325000,00060,73412,,1956,1394.0,366
USGS,05325000,00060,73412,,1957,3641.0,365
USGS,05325000,00060,73412,,1958,1289.0,365
USGS,05325000,00060,73412,,1959,679.3,365
USGS,05325000,00060,73412,,1960,3461.0,366
USGS,05325000,00060,73412,,1961,1813.0,365
USGS,05325000,00060,73412,,1962,5212.0,365
USGS,05325000,00060,73412,,1963,2552.0,365
USGS,05325000,00060,73412,,1964,1818.0,366
USGS,05325000,00060,73412,,1965,6941.0,365
USGS,05325000,00060,73412,,1966,2662.0,365
USGS,05325000,00060,73412,,1967,2779.0,365
USGS,05325000,00060,73412,,1968,3508.0,366
USGS,05325000,00060,73412,,1969,6922.0,365
USGS,05325000,00060,73412,,1970,2846.0,365
USGS,05325000,00060,73412,,1971,3610.0,365
USGS,05325000,00060,73412,,1972,4254.0,366
USGS,05325000,00060,73412,,1973,3708.0,365
USGS,05325000,00060,73412,,1974,2085.0,365
USGS,05325000,00060,73412,,1975,2890.0,365
USGS,05325000,00060,73412,,1976,743.9,366
USGS,05325000,00060,73412,,1977,1075.0,365
USGS,05325000,00060,73412,,1978,3204.0,365
USGS,05325000,00060,73412,,1979,7019.0,365
USGS,05325000,00060,73412,,1980,2473.0,366
USGS,05325000,00060,73412,,1981,2214.0,365
USGS,05325000,00060,73412,,1982,4533.0,365
USGS,05325000,00060,73412,,1983,7389.0,365
USGS,05325000,00060,73412,,1984,8669.0,366
USGS,05325000,00060,73412,,1985,5377.0,365
USGS,05325000,00060,73412,,1986,9851.0,365
USGS,05325000,00060,73412,,1987,2001.0,365
USGS,05325000,00060,73412,,1988,1080.0,366
USGS,05325000,00060,73412,,1989,1077.0,365
USGS,05325000,00060,73412,,1990,2232.0,365
USGS,05325000,00060,73412,,1991,7484.0,365
USGS,05325000,00060,73412,,1992,7214.0,366
USGS,05325000,00060,73412,,1993,14560.0,365
USGS,05325000,00060,73412,,1994,7196.0,365
USGS,05325000,00060,73412,,1995,9064.0,365
USGS,05325000,00060,73412,,1996,5625.0,366
USGS,05325000,00060,73412,,1997,9102.0,365
USGS,05325000,00060,73412,,1998,5251.0,365
USGS,05325000,00060,73412,,1999,5441.0,365
USGS,05325000,00060,73412,,2000,2454.0,366
USGS,05325000,00060,73412,,2001,9195.0,365
USGS,05325000,00060,73412,,2002,3523.0,365
USGS,05325000,00060,73412,,2003,2573.0,365
USGS,05325000,00060,73412,,2004,4294.0,366
USGS,05325000,00060,73412,,2005,5717.0,365
USGS,05325000,00060,73412,,2006,5855.0,365
USGS,05325000,00060,73412,,2007,5823.0,365
USGS,05325000,00060,73412,,2008,4288.0,366
USGS,05325000,00060,73412,,2009,3867.0,365
USGS,05325000,00060,73412,,2010,12850.0,365
USGS,05325000,00060,73412,,2011,12660.0,365
USGS,05325000,00060,73412,,2012,2370.0,366
USGS,05325000,00060,73412,,2013,4236.0,365
USGS,05325000,00060,73412,,2014,6102.0,365
USGS,05325000,00060,73412,,2015,3818.0,365
USGS,05325000,00060,73412,,2016,10080.0,366
USGS,05325000,00060,73412,,2017,8537.0,365
USGS,05325000,00060,73412,,2018,13720.0,365
USGS,05325000,00060,73412,,2019,17980.0,365
USGS,05325000,00060,73412,,2020,7387.0,366
USGS,05325000,00060,73412,,2021,2907.0,365
USGS,05325000,00060,73412,,2022,4741.0,365
USGS,05325000,00060,73412,,2023,6808.0,289
