Activity_StartDate,Result_Measure,Result_MeasureUnit,Result_Characteristic,ResultAnalyticalMethod_Description,Result_CharacteristicGroup
1960-10-04,10,ug/L,Iron,,"Inorganics, Minor, Metals"
1961-03-20,20,ug/L,Iron,,"Inorganics, Minor, Metals"
1961-05-16,30,ug/L,Iron,,"Inorganics, Minor, Metals"
1962-04-02,120,ug/L,Iron,,"Inorganics, Minor, Metals"
1963-02-26,100,ug/L,Iron,,"Inorganics, Minor, Metals"
1963-10-22,20,ug/L,Iron,,"Inorganics, Minor, Metals"
1963-11-07,50,ug/L,Iron,,"Inorganics, Minor, Metals"
1963-12-10,30,ug/L,Iron,,"Inorganics, Minor, Metals"
1964-01-16,30,ug/L,Iron,,"Inorganics, Minor, Metals"
1964-02-25,30,ug/L,Iron,,"Inorganics, Minor, Metals"
1964-04-03,50,ug/L,Iron,,"Inorganics, Minor, Metals"
1964-05-13,30,ug/L,Iron,,"Inorganics, Minor, Metals"
1964-05-14,30,ug/L,Iron,,"Inorganics, Minor, Metals"
1964-06-17,30,ug/L,Iron,,"Inorganics, Minor, Metals"
1964-07-15,90,ug/L,Iron,,"Inorganics, Minor, Metals"
1964-08-11,20,ug/L,Iron,,"Inorganics, Minor, Metals"
1964-09-13,40,ug/L,Iron,,"Inorganics, Minor, Metals"
1964-09-22,30,ug/L,Iron,,"Inorganics, Minor, Metals"
1964-10-09,50,ug/L,Iron,,"Inorganics, Minor, Metals"
1964-11-16,20,ug/L,Iron,,"Inorganics, Minor, Metals"
1964-12-09,30,ug/L,Iron,,"Inorganics, Minor, Metals"
1965-01-07,40,ug/L,Iron,,"Inorganics, Minor, Metals"
1965-02-10,20,ug/L,Iron,,"Inorganics, Minor, Metals"
1965-03-25,90,ug/L,Iron,,"Inorganics, Minor, Metals"
1965-04-29,40,ug/L,Iron,,"Inorganics, Minor, Metals"
1965-05-02,20,ug/L,Iron,,"Inorganics, Minor, Metals"
1965-05-25,20,ug/L,Iron,,"Inorganics, Minor, Metals"
1965-07-13,30,ug/L,Iron,,"Inorganics, Minor, Metals"
1965-08-18,10,ug/L,Iron,,"Inorganics, Minor, Metals"
1965-09-20,30,ug/L,Iron,,"Inorganics, Minor, Metals"
1965-10-15,10,ug/L,Iron,,"Inorganics, Minor, Metals"
1965-11-30,30,ug/L,Iron,,"Inorganics, Minor, Metals"
1965-12-15,20,ug/L,Iron,,"Inorganics, Minor, Metals"
1966-01-12,40,ug/L,Iron,,"Inorganics, Minor, Metals"
1966-02-15,90,ug/L,Iron,,"Inorganics, Minor, Metals"
1966-04-21,40,ug/L,Iron,,"Inorganics, Minor, Metals"
1966-05-25,10,ug/L,Iron,,"Inorganics, Minor, Metals"
1966-06-24,40,ug/L,Iron,,"Inorganics, Minor, Metals"
1966-07-27,40,ug/L,Iron,,"Inorganics, Minor, Metals"
1966-08-18,20,ug/L,Iron,,"Inorganics, Minor, Metals"
1966-10-18,50,ug/L,Iron,,"Inorganics, Minor, Metals"
1967-02-28,50,ug/L,Iron,,"Inorganics, Minor, Metals"
1967-07-12,30,ug/L,Iron,,"Inorganics, Minor, Metals"
