Activity_StartDate,Result_Measure,Result_MeasureUnit,Result_Characteristic,ResultAnalyticalMethod_Description,Result_CharacteristicGroup
1901-01-01,1028 - Geological Survey,,Agency analyzing sample,,Information
1967-11-09,1028 - Geological Survey,,Agency analyzing sample,,Information
1968-01-16,1028 - Geological Survey,,Agency analyzing sample,,Information
1968-03-20,1028 - Geological Survey,,Agency analyzing sample,,Information
1968-04-24,1028 - Geological Survey,,Agency analyzing sample,,Information
1968-05-23,1028 - Geological Survey,,Agency analyzing sample,,Information
1968-06-27,1028 - Geological Survey,,Agency analyzing sample,,Information
1968-06-29,1028 - Geological Survey,,Agency analyzing sample,,Information
1968-07-12,1028 - Geological Survey,,Agency analyzing sample,,Information
1968-07-12,1028 - Geological Survey,,Agency analyzing sample,,Information
1968-07-25,1028 - Geological Survey,,Agency analyzing sample,,Information
1968-07-26,1028 - Geological Survey,,Agency analyzing sample,,Information
1968-08-01,1028 - Geological Survey,,Agency analyzing sample,,Information
1968-08-08,1028 - Geological Survey,,Agency analyzing sample,,Information
1968-10-17,1028 - Geological Survey,,Agency analyzing sample,,Information
1968-10-21,1028 - Geological Survey,,Agency analyzing sample,,Information
1968-10-24,1028 - Geological Survey,,Agency analyzing sample,,Information
1968-11-14,1028 - Geological Survey,,Agency analyzing sample,,Information
1969-03-26,1028 - Geological Survey,,Agency analyzing sample,,Information
1969-04-09,1028 - Geological Survey,,Agency analyzing sample,,Information
1969-05-27,1028 - Geological Survey,,Agency analyzing sample,,Information
1969-07-02,1028 - Geological Survey,,Agency analyzing sample,,Information
1969-07-31,1028 - Geological Survey,,Agency analyzing sample,,Information
1969-09-02,1028 - Geological Survey,,Agency analyzing sample,,Information
1969-10-07,1028 - Geological Survey,,Agency analyzing sample,,Information
1969-11-19,1028 - Geological Survey,,Agency analyzing sample,,Information
1969-12-18,1028 - Geological Survey,,Agency analyzing sample,,Information
1970-01-29,1028 - Geological Survey,,Agency analyzing sample,,Information
1970-03-05,1028 - Geological Survey,,Agency analyzing sample,,Information
1970-04-08,1028 - Geological Survey,,Agency analyzing sample,,Information
1970-05-07,1028 - Geological Survey,,Agency analyzing sample,,Information
1970-06-18,1028 - Geological Survey,,Agency analyzing sample,,Information
1970-07-16,1028 - Geological Survey,,Agency analyzing sample,,Information
1970-08-20,1028 - Geological Survey,,Agency analyzing sample,,Information
1970-09-24,1028 - Geological Survey,,Agency analyzing sample,,Information
1970-12-03,1028 - Geological Survey,,Agency analyzing sample,,Information
1971-03-19,1028 - Geological Survey,,Agency analyzing sample,,Information
1971-04-23,1028 - Geological Survey,,Agency analyzing sample,,Information
1971-05-27,1028 - Geological Survey,,Agency analyzing sample,,Information
1971-06-24,1028 - Geological Survey,,Agency analyzing sample,,Information
1971-08-04,1028 - Geological Survey,,Agency analyzing sample,,Information
1971-09-10,1028 - Geological Survey,,Agency analyzing sample,,Information
1971-10-13,1028 - Geological Survey,,Agency analyzing sample,,Information
1971-11-26,1028 - Geological Survey,,Agency analyzing sample,,Information
1972-01-05,1028 - Geological Survey,,Agency analyzing sample,,Information
1972-03-02,1028 - Geological Survey,,Agency analyzing sample,,Information
1972-03-31,1028 - Geological Survey,,Agency analyzing sample,,Information
1972-06-14,1028 - Geological Survey,,Agency analyzing sample,,Information
1972-08-23,1028 - Geological Survey,,Agency analyzing sample,,Information
1972-09-27,1028 - Geological Survey,,Agency analyzing sample,,Information
1972-11-01,1028 - Geological Survey,,Agency analyzing sample,,Information
1973-03-14,1028 - Geological Survey,,Agency analyzing sample,,Information
1973-03-27,1028 - Geological Survey,,Agency analyzing sample,,Information
1973-04-16,1028 - Geological Survey,,Agency analyzing sample,,Information
1973-05-24,1028 - Geological Survey,,Agency analyzing sample,,Information
1973-07-09,1028 - Geological Survey,,Agency analyzing sample,,Information
1973-08-01,1028 - Geological Survey,,Agency analyzing sample,,Information
1973-09-06,1028 - Geological Survey,,Agency analyzing sample,,Information
1973-10-11,1028 - Geological Survey,,Agency analyzing sample,,Information
1973-11-14,1028 - Geological Survey,,Agency analyzing sample,,Information
1974-04-04,1028 - Geological Survey,,Agency analyzing sample,,Information
1974-05-08,1028 - Geological Survey,,Agency analyzing sample,,Information
1974-07-18,1028 - Geological Survey,,Agency analyzing sample,,Information
1974-08-21,1028 - Geological Survey,,Agency analyzing sample,,Information
1974-09-25,1028 - Geological Survey,,Agency analyzing sample,,Information
1974-12-03,1028 - Geological Survey,,Agency analyzing sample,,Information
1975-01-08,1028 - Geological Survey,,Agency analyzing sample,,Information
1975-02-14,1028 - Geological Survey,,Agency analyzing sample,,Information
1975-05-13,1028 - Geological Survey,,Agency analyzing sample,,Information
1975-05-23,1028 - Geological Survey,,Agency analyzing sample,,Information
1975-08-05,1028 - Geological Survey,,Agency analyzing sample,,Information
1975-09-10,1028 - Geological Survey,,Agency analyzing sample,,Information
1975-10-16,1028 - Geological Survey,,Agency analyzing sample,,Information
1975-11-19,1028 - Geological Survey,,Agency analyzing sample,,Information
1976-03-29,1028 - Geological Survey,,Agency analyzing sample,,Information
1976-05-12,1028 - Geological Survey,,Agency analyzing sample,,Information
1976-07-21,1028 - Geological Survey,,Agency analyzing sample,,Information
1976-08-18,1028 - Geological Survey,,Agency analyzing sample,,Information
1976-09-28,1028 - Geological Survey,,Agency analyzing sample,,Information
1976-11-01,1028 - Geological Survey,,Agency analyzing sample,,Information
1976-12-09,1028 - Geological Survey,,Agency analyzing sample,,Information
1977-01-18,1028 - Geological Survey,,Agency analyzing sample,,Information
1977-03-15,1028 - Geological Survey,,Agency analyzing sample,,Information
1977-03-18,1028 - Geological Survey,,Agency analyzing sample,,Information
1977-03-25,1028 - Geological Survey,,Agency analyzing sample,,Information
1977-04-08,1028 - Geological Survey,,Agency analyzing sample,,Information
1977-05-19,1028 - Geological Survey,,Agency analyzing sample,,Information
1977-06-08,1028 - Geological Survey,,Agency analyzing sample,,Information
1977-07-12,1028 - Geological Survey,,Agency analyzing sample,,Information
1977-08-10,1028 - Geological Survey,,Agency analyzing sample,,Information
1977-09-23,1028 - Geological Survey,,Agency analyzing sample,,Information
1977-10-28,1028 - Geological Survey,,Agency analyzing sample,,Information
1978-03-20,1028 - Geological Survey,,Agency analyzing sample,,Information
1978-03-30,1028 - Geological Survey,,Agency analyzing sample,,Information
1978-04-25,1028 - Geological Survey,,Agency analyzing sample,,Information
1978-06-02,1028 - Geological Survey,,Agency analyzing sample,,Information
1978-07-13,1028 - Geological Survey,,Agency analyzing sample,,Information
1978-08-02,1028 - Geological Survey,,Agency analyzing sample,,Information
1978-11-17,1028 - Geological Survey,,Agency analyzing sample,,Information
1978-12-18,1028 - Geological Survey,,Agency analyzing sample,,Information
1979-01-11,1028 - Geological Survey,,Agency analyzing sample,,Information
1979-03-01,1028 - Geological Survey,,Agency analyzing sample,,Information
1979-03-21,1028 - Geological Survey,,Agency analyzing sample,,Information
1979-03-23,1028 - Geological Survey,,Agency analyzing sample,,Information
1979-03-27,1028 - Geological Survey,,Agency analyzing sample,,Information
1979-04-02,1028 - Geological Survey,,Agency analyzing sample,,Information
1979-04-18,1028 - Geological Survey,,Agency analyzing sample,,Information
1979-05-09,1028 - Geological Survey,,Agency analyzing sample,,Information
1979-06-11,1028 - Geological Survey,,Agency analyzing sample,,Information
1979-07-19,1028 - Geological Survey,,Agency analyzing sample,,Information
1979-08-24,1028 - Geological Survey,,Agency analyzing sample,,Information
1979-11-07,1028 - Geological Survey,,Agency analyzing sample,,Information
1981-10-15,1028 - Geological Survey,,Agency analyzing sample,,Information
1982-04-20,1028 - Geological Survey,,Agency analyzing sample,,Information
1982-04-20,1028 - Geological Survey,,Agency analyzing sample,,Information
1982-09-02,1028 - Geological Survey,,Agency analyzing sample,,Information
1983-03-04,1028 - Geological Survey,,Agency analyzing sample,,Information
1983-03-04,1028 - Geological Survey,,Agency analyzing sample,,Information
1983-03-04,1028 - Geological Survey,,Agency analyzing sample,,Information
1983-04-18,1028 - Geological Survey,,Agency analyzing sample,,Information
1983-04-18,1028 - Geological Survey,,Agency analyzing sample,,Information
1983-10-05,1028 - Geological Survey,,Agency analyzing sample,,Information
1984-02-24,1028 - Geological Survey,,Agency analyzing sample,,Information
1984-03-28,1028 - Geological Survey,,Agency analyzing sample,,Information
1984-06-18,1028 - Geological Survey,,Agency analyzing sample,,Information
1984-06-18,1028 - Geological Survey,,Agency analyzing sample,,Information
1984-08-17,1028 - Geological Survey,,Agency analyzing sample,,Information
1985-03-13,1028 - Geological Survey,,Agency analyzing sample,,Information
1985-03-14,1028 - Geological Survey,,Agency analyzing sample,,Information
1985-03-18,1028 - Geological Survey,,Agency analyzing sample,,Information
1985-04-29,1028 - Geological Survey,,Agency analyzing sample,,Information
1985-04-29,1028 - Geological Survey,,Agency analyzing sample,,Information
1985-06-18,1028 - Geological Survey,,Agency analyzing sample,,Information
1985-09-10,1028 - Geological Survey,,Agency analyzing sample,,Information
1985-09-10,1028 - Geological Survey,,Agency analyzing sample,,Information
1986-04-09,1028 - Geological Survey,,Agency analyzing sample,,Information
1986-04-29,1028 - Geological Survey,,Agency analyzing sample,,Information
1986-04-29,1028 - Geological Survey,,Agency analyzing sample,,Information
1986-05-02,1028 - Geological Survey,,Agency analyzing sample,,Information
1986-06-17,1028 - Geological Survey,,Agency analyzing sample,,Information
1986-09-24,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-03-24,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-08-11,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-01,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-02,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-02,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-03,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-04,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-05,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-06,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-07,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-09,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-09,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-10,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-11,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-12,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-14,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-15,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-16,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-16,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-17,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-18,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-19,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-20,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-21,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-22,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-22,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-22,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-22,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-22,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-22,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-23,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-23,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-24,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-25,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-26,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-27,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-28,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-30,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-30,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-10-31,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-01,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-02,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-03,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-04,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-05,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-06,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-06,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-07,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-08,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-09,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-10,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-11,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-12,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-13,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-13,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-17,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-18,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-19,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-20,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-20,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-21,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-22,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-23,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-24,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-25,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-26,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-29,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-11-30,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-12-01,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-12-01,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-12-01,1028 - Geological Survey,,Agency analyzing sample,,Information
1987-12-01,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-01-12,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-01-13,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-01,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-01,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-05,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-10,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-10,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-10,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-10,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-11,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-11,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-12,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-17,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-18,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-18,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-19,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-20,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-21,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-22,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-23,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-24,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-25,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-25,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-27,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-28,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-29,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-30,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-03-31,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-04-02,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-04-03,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-04-04,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-04-05,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-04-06,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-04-06,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-04-06,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-04-07,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-04-07,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-04-07,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-04-08,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-04-09,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-04-10,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-04-11,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-04-15,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-04-16,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-04-19,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-04-20,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-04-21,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-04-22,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-04-22,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-04-23,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-04-24,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-01,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-02,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-03,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-04,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-05,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-06,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-06,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-07,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-08,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-09,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-10,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-11,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-12,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-13,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-13,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-15,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-16,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-16,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-17,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-17,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-17,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-17,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-18,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-19,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-20,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-20,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-21,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-22,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-23,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-24,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-25,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-26,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-27,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-27,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-28,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-30,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-05-31,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-01,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-02,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-03,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-03,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-08,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-09,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-10,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-10,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-11,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-12,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-13,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-14,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-15,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-16,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-17,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-17,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-18,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-19,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-20,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-21,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-22,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-23,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-24,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-24,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-25,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-26,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-27,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-28,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-29,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-06-30,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-01,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-01,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-02,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-03,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-04,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-05,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-07,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-07,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-08,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-08,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-09,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-10,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-11,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-12,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-12,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-12,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-12,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-13,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-14,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-15,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-15,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-16,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-17,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-18,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-19,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-20,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-20,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-20,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-20,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-21,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-22,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-22,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-23,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-24,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-25,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-26,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-27,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-28,1028 - Geological Survey,,Agency analyzing sample,,Information
1988-07-29,1028 - Geological Survey,,Agency analyzing sample,,Information
