Activity_StartDate,Result_Measure,Result_MeasureUnit,Result_Characteristic,ResultAnalyticalMethod_Description,Result_CharacteristicGroup
1960-10-04,74.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1961-03-20,23.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1961-05-16,33.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1962-04-02,8.50,mg/L,Magnesium,,"Inorganics, Major, Metals"
1963-02-26,44.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1963-10-22,38.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1963-11-07,41.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1963-12-10,45.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1964-01-16,57.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1964-02-25,39.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1964-04-03,32.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1964-05-13,27.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1964-05-14,29.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1964-06-17,32.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1964-07-15,29.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1964-08-11,30.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1964-09-13,28.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1964-09-22,34.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1964-10-09,38.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1964-11-16,43.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1964-12-09,48.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1965-01-07,45.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1965-02-10,44.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1965-03-25,21.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1965-04-29,23.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1965-05-02,32.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1965-05-25,32.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1965-07-13,30.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1965-08-18,34.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1965-09-20,31.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1965-10-15,34.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1965-11-30,45.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1965-12-15,37.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1966-01-12,48.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1966-02-15,15.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1966-04-21,33.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1966-05-25,38.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1966-06-24,18.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1966-07-27,31.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1966-08-18,34.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1966-10-18,36.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1967-02-28,45.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1967-07-12,30.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
1969-09-12,27.0,mg/L,Magnesium,,"Inorganics, Major, Metals"
