agency_cd,site_no,parameter_cd,ts_id,loc_web_ds,year_nu,mean_va,count_nu
USGS,05320500,00060,325200,,1939,11.6,92
USGS,05320500,00060,325200,,1940,69.1,366
USGS,05320500,00060,325200,,1941,303.5,365
USGS,05320500,00060,325200,,1942,287.6,365
USGS,05320500,00060,325200,,1943,488.1,365
USGS,05320500,00060,325200,,1944,571.7,366
USGS,05320500,00060,325200,,1945,769.5,273
USGS,05320500,00060,325200,,1949,14.3,153
USGS,05320500,00060,325200,,1950,133.3,365
USGS,05320500,00060,325200,,1951,884.8,365
USGS,05320500,00060,325200,,1952,429.9,366
USGS,05320500,00060,325200,,1953,483.7,365
USGS,05320500,00060,325200,,1954,153.9,365
USGS,05320500,00060,325200,,1955,111.0,365
USGS,05320500,00060,325200,,1956,170.0,366
USGS,05320500,00060,325200,,1957,92.2,365
USGS,05320500,00060,325200,,1958,50.6,365
USGS,05320500,00060,325200,,1959,160.6,365
USGS,05320500,00060,325200,,1960,664.5,366
USGS,05320500,00060,325200,,1961,406.3,365
USGS,05320500,00060,325200,,1962,751.5,365
USGS,05320500,00060,325200,,1963,206.0,365
USGS,05320500,00060,325200,,1964,280.6,366
USGS,05320500,00060,325200,,1965,993.1,365
USGS,05320500,00060,325200,,1966,315.0,365
USGS,05320500,00060,325200,,1967,533.0,365
USGS,05320500,00060,325200,,1968,988.2,366
USGS,05320500,00060,325200,,1969,722.3,365
USGS,05320500,00060,325200,,1970,473.0,365
USGS,05320500,00060,325200,,1971,495.6,365
USGS,05320500,00060,325200,,1972,309.8,366
USGS,05320500,00060,325200,,1973,915.1,365
USGS,05320500,00060,325200,,1974,506.9,365
USGS,05320500,00060,325200,,1975,693.3,365
USGS,05320500,00060,325200,,1976,64.8,366
USGS,05320500,00060,325200,,1977,97.0,365
USGS,05320500,00060,325200,,1978,411.8,365
USGS,05320500,00060,325200,,1979,758.5,365
USGS,05320500,00060,325200,,1980,371.5,366
USGS,05320500,00060,325200,,1981,515.2,365
USGS,05320500,00060,325200,,1982,670.6,365
USGS,05320500,00060,325200,,1983,1228.0,365
USGS,05320500,00060,325200,,1984,927.4,366
USGS,05320500,00060,325200,,1985,417.5,365
USGS,05320500,00060,325200,,1986,910.2,365
USGS,05320500,00060,325200,,1987,131.8,365
USGS,05320500,00060,325200,,1988,201.3,366
USGS,05320500,00060,325200,,1989,107.1,365
USGS,05320500,00060,325200,,1990,399.0,365
USGS,05320500,00060,325200,,1991,996.5,365
USGS,05320500,00060,325200,,1992,1187.0,366
USGS,05320500,00060,325200,,1993,1812.0,365
USGS,05320500,00060,325200,,1994,828.9,365
USGS,05320500,00060,325200,,1995,986.4,365
USGS,05320500,00060,325200,,1996,559.0,366
USGS,05320500,00060,325200,,1997,681.4,365
USGS,05320500,00060,325200,,1998,643.2,365
USGS,05320500,00060,325200,,1999,955.7,365
USGS,05320500,00060,325200,,2000,598.6,366
USGS,05320500,00060,325200,,2001,1148.0,365
USGS,05320500,00060,325200,,2002,460.8,365
USGS,05320500,00060,325200,,2003,345.8,365
USGS,05320500,00060,325200,,2004,772.0,366
USGS,05320500,00060,325200,,2005,811.7,365
USGS,05320500,00060,325200,,2006,722.7,365
USGS,05320500,00060,325200,,2007,933.3,365
USGS,05320500,00060,325200,,2008,510.4,366
USGS,05320500,00060,325200,,2009,281.3,365
USGS,05320500,00060,325200,,2010,1685.0,365
USGS,05320500,00060,325200,,2011,1143.0,365
USGS,05320500,00060,325200,,2012,211.9,366
USGS,05320500,00060,325200,,2013,799.0,365
USGS,05320500,00060,325200,,2014,912.3,365
USGS,05320500,00060,325200,,2015,818.8,365
USGS,05320500,00060,325200,,2016,1764.0,366
USGS,05320500,00060,325200,,2017,792.2,365
USGS,05320500,00060,325200,,2018,1604.0,365
USGS,05320500,00060,325200,,2019,1826.0,365
USGS,05320500,00060,325200,,2020,929.4,366
USGS,05320500,00060,325200,,2021,355.6,365
USGS,05320500,00060,325200,,2022,329.2,365
USGS,05320500,00060,325200,,2023,604.4,365
USGS,05320500,00060,325200,,2024,1711.0,297
