agency_cd,site_no,parameter_cd,ts_id,loc_web_ds,year_nu,month_nu,mean_va,count_nu
USGS,05320270,00010,73393,,1996,4,8.82,19
USGS,05320270,00010,73393,,1996,5,13.6,31
USGS,05320270,00010,73393,,1996,6,20.12,30
USGS,05320270,00010,73393,,1996,7,22.55,31
USGS,05320270,00010,73393,,1996,8,21.82,28
USGS,05320270,00010,73393,,1996,9,17.15,30
USGS,05320270,00010,73393,,1996,10,10.31,31
USGS,05320270,00010,73393,,1996,11,1.02,30
USGS,05320270,00010,73393,,1996,12,0.0,31
USGS,05320270,00010,73393,,1997,1,0.0,31
USGS,05320270,00010,73393,,1997,2,0.0,28
USGS,05320270,00010,73393,,1997,3,1.16,31
USGS,05320270,00010,73393,,1997,4,8.57,30
USGS,05320270,00010,73393,,1997,5,13.13,31
USGS,05320270,00010,73393,,1997,6,21.48,30
USGS,05320270,00010,73393,,1997,7,22.76,31
USGS,05320270,00010,73393,,1997,8,22.16,31
USGS,05320270,00010,73393,,1997,9,18.3,30
USGS,05320270,00010,73393,,1997,10,11.1,31
USGS,05320270,00010,73393,,1997,11,3.75,4
USGS,05320270,00010,73393,,1997,12,0.0,20
USGS,05320270,00010,73393,,1998,1,0.0,9
USGS,05320270,00010,73393,,1998,2,2.5,3
USGS,05320270,00010,73393,,1998,3,2.91,29
USGS,05320270,00010,73393,,1998,4,10.23,30
USGS,05320270,00010,73393,,1998,5,17.28,30
USGS,05320270,00010,73393,,1998,6,18.95,30
USGS,05320270,00010,73393,,1998,7,22.98,31
USGS,05320270,00010,73393,,1998,8,20.53,15
USGS,05320270,00010,73393,,1998,9,18.5,7
USGS,05320270,00010,73393,,2005,6,22.39,22
USGS,05320270,00010,73393,,2005,7,24.43,30
USGS,05320270,00010,73393,,2005,8,21.92,30
USGS,05320270,00010,73393,,2005,9,18.88,4
USGS,05320270,00010,73393,,2006,6,20.74,19
USGS,05320270,00010,73393,,2006,7,25.64,7
USGS,05320270,00010,73393,,2006,8,23.57,15
