datetimeUTC,USGS:05320270:00095:00001,USGS:05320270:00095:00001_qualifiers,USGS:05320270:00095:00002,USGS:05320270:00095:00002_qualifiers,USGS:05320270:00095:00003,USGS:05320270:00095:00003_qualifiers
1996-04-12 00:00:00+00:00,543.0,A,528.0,A,533.0,A
1996-04-13 00:00:00+00:00,547.0,A,526.0,A,538.0,A
1996-04-14 00:00:00+00:00,590.0,A,547.0,A,577.0,A
1996-04-15 00:00:00+00:00,575.0,A,549.0,A,561.0,A
1996-04-16 00:00:00+00:00,599.0,A,563.0,A,586.0,A
1996-04-17 00:00:00+00:00,629.0,A,595.0,A,616.0,A
1996-04-18 00:00:00+00:00,619.0,A,596.0,A,609.0,A
1996-04-19 00:00:00+00:00,615.0,A,596.0,A,607.0,A
1996-04-20 00:00:00+00:00,623.0,A,603.0,A,616.0,A
1996-04-21 00:00:00+00:00,641.0,A,623.0,A,632.0,A
1996-04-22 00:00:00+00:00,645.0,A,617.0,A,631.0,A
1996-04-23 00:00:00+00:00,638.0,A,610.0,A,624.0,A
1996-04-24 00:00:00+00:00,635.0,A,577.0,A,611.0,A
1996-04-25 00:00:00+00:00,608.0,A,584.0,A,599.0,A
1996-04-26 00:00:00+00:00,633.0,A,607.0,A,619.0,A
1996-04-27 00:00:00+00:00,657.0,A,633.0,A,648.0,A
1996-04-28 00:00:00+00:00,672.0,A,649.0,A,660.0,A
1996-04-29 00:00:00+00:00,666.0,A,652.0,A,658.0,A
1996-04-30 00:00:00+00:00,677.0,A,658.0,A,668.0,A
1996-05-01 00:00:00+00:00,672.0,A,651.0,A,662.0,A
1996-05-02 00:00:00+00:00,664.0,A,652.0,A,659.0,A
1996-05-03 00:00:00+00:00,674.0,A,654.0,A,663.0,A
1996-05-04 00:00:00+00:00,675.0,A,651.0,A,664.0,A
1996-05-05 00:00:00+00:00,652.0,A,637.0,A,646.0,A
1996-05-06 00:00:00+00:00,653.0,A,636.0,A,646.0,A
1996-05-07 00:00:00+00:00,666.0,A,638.0,A,654.0,A
1996-05-08 00:00:00+00:00,659.0,A,637.0,A,651.0,A
1996-05-09 00:00:00+00:00,660.0,A,649.0,A,655.0,A
1996-05-10 00:00:00+00:00,672.0,A,648.0,A,659.0,A
1996-05-11 00:00:00+00:00,686.0,A,672.0,A,678.0,A
1996-05-12 00:00:00+00:00,690.0,A,657.0,A,679.0,A
1996-05-13 00:00:00+00:00,683.0,A,652.0,A,672.0,A
1996-05-14 00:00:00+00:00,660.0,A,645.0,A,654.0,A
1996-05-15 00:00:00+00:00,661.0,A,645.0,A,654.0,A
1996-05-16 00:00:00+00:00,661.0,A,650.0,A,657.0,A
1996-05-17 00:00:00+00:00,666.0,A,650.0,A,661.0,A
1996-05-18 00:00:00+00:00,660.0,A,631.0,A,649.0,A
1996-05-19 00:00:00+00:00,653.0,A,634.0,A,646.0,A
1996-05-20 00:00:00+00:00,667.0,A,653.0,A,661.0,A
1996-05-21 00:00:00+00:00,667.0,A,661.0,A,663.0,A
1996-05-22 00:00:00+00:00,671.0,A,658.0,A,666.0,A
1996-05-23 00:00:00+00:00,679.0,A,659.0,A,669.0,A
1996-05-24 00:00:00+00:00,679.0,A,660.0,A,669.0,A
1996-05-25 00:00:00+00:00,683.0,A,669.0,A,676.0,A
1996-05-26 00:00:00+00:00,689.0,A,683.0,A,686.0,A
1996-05-27 00:00:00+00:00,696.0,A,678.0,A,689.0,A
1996-05-28 00:00:00+00:00,687.0,A,652.0,A,671.0,A
1996-05-29 00:00:00+00:00,673.0,A,658.0,A,666.0,A
1996-05-30 00:00:00+00:00,683.0,A,660.0,A,674.0,A
1996-05-31 00:00:00+00:00,667.0,A,646.0,A,661.0,A
1996-06-01 00:00:00+00:00,652.0,A,644.0,A,649.0,A
1996-06-02 00:00:00+00:00,659.0,A,651.0,A,656.0,A
1996-06-03 00:00:00+00:00,656.0,A,649.0,A,652.0,A
1996-06-04 00:00:00+00:00,656.0,A,643.0,A,651.0,A
1996-06-05 00:00:00+00:00,659.0,A,640.0,A,651.0,A
1996-06-06 00:00:00+00:00,643.0,A,624.0,A,637.0,A
1996-06-07 00:00:00+00:00,624.0,A,600.0,A,613.0,A
1996-06-08 00:00:00+00:00,654.0,A,608.0,A,633.0,A
1996-06-09 00:00:00+00:00,660.0,A,645.0,A,654.0,A
1996-06-10 00:00:00+00:00,650.0,A,632.0,A,641.0,A
1996-06-11 00:00:00+00:00,632.0,A,624.0,A,627.0,A
1996-06-12 00:00:00+00:00,631.0,A,600.0,A,616.0,A
1996-06-13 00:00:00+00:00,645.0,A,631.0,A,637.0,A
1996-06-14 00:00:00+00:00,649.0,A,634.0,A,642.0,A
1996-06-15 00:00:00+00:00,655.0,A,628.0,A,647.0,A
1996-06-16 00:00:00+00:00,637.0,A,619.0,A,630.0,A
1996-06-17 00:00:00+00:00,619.0,A,264.0,A,403.0,A
1996-06-18 00:00:00+00:00,495.0,A,420.0,A,466.0,A
1996-06-19 00:00:00+00:00,519.0,A,495.0,A,508.0,A
1996-06-20 00:00:00+00:00,535.0,A,519.0,A,527.0,A
1996-06-21 00:00:00+00:00,549.0,A,534.0,A,542.0,A
1996-06-22 00:00:00+00:00,564.0,A,549.0,A,557.0,A
1996-06-23 00:00:00+00:00,565.0,A,557.0,A,559.0,A
1996-06-24 00:00:00+00:00,568.0,A,558.0,A,564.0,A
1996-06-25 00:00:00+00:00,572.0,A,564.0,A,568.0,A
1996-06-26 00:00:00+00:00,566.0,A,545.0,A,556.0,A
1996-06-27 00:00:00+00:00,559.0,A,545.0,A,552.0,A
1996-06-28 00:00:00+00:00,561.0,A,543.0,A,551.0,A
1996-06-29 00:00:00+00:00,559.0,A,550.0,A,554.0,A
1996-06-30 00:00:00+00:00,560.0,A,549.0,A,556.0,A
1996-07-01 00:00:00+00:00,549.0,A,537.0,A,544.0,A
1996-07-02 00:00:00+00:00,539.0,A,532.0,A,535.0,A
1996-07-03 00:00:00+00:00,550.0,A,536.0,A,543.0,A
1996-07-04 00:00:00+00:00,548.0,A,541.0,A,544.0,A
1996-07-05 00:00:00+00:00,566.0,A,538.0,A,550.0,A
1996-07-06 00:00:00+00:00,564.0,A,526.0,A,547.0,A
1996-07-07 00:00:00+00:00,551.0,A,526.0,A,535.0,A
1996-07-08 00:00:00+00:00,559.0,A,536.0,A,548.0,A
1996-07-09 00:00:00+00:00,561.0,A,548.0,A,554.0,A
1996-07-10 00:00:00+00:00,580.0,A,553.0,A,566.0,A
1996-07-11 00:00:00+00:00,581.0,A,560.0,A,568.0,A
