agency_cd,site_no,parameter_cd,ts_id,loc_web_ds,year_nu,month_nu,mean_va,count_nu
USGS,05325000,80154,73410,,1967,10,116.8,31
USGS,05325000,80154,73410,,1967,11,142.6,30
USGS,05325000,80154,73410,,1967,12,122.1,31
USGS,05325000,80154,73410,,1968,1,87.2,31
USGS,05325000,80154,73410,,1968,2,99.3,29
USGS,05325000,80154,73410,,1968,3,59.0,31
USGS,05325000,80154,73410,,1968,4,137.0,30
USGS,05325000,80154,73410,,1968,5,121.6,31
USGS,05325000,80154,73410,,1968,6,337.7,30
USGS,05325000,80154,73410,,1968,7,471.9,31
USGS,05325000,80154,73410,,1968,8,378.8,31
USGS,05325000,80154,73410,,1968,9,281.7,30
USGS,05325000,80154,73410,,1968,10,444.1,31
USGS,05325000,80154,73410,,1968,11,168.0,30
USGS,05325000,80154,73410,,1968,12,144.8,31
USGS,05325000,80154,73410,,1969,1,51.2,31
USGS,05325000,80154,73410,,1969,2,41.9,28
USGS,05325000,80154,73410,,1969,3,331.8,31
USGS,05325000,80154,73410,,1969,4,499.1,30
USGS,05325000,80154,73410,,1969,5,137.5,31
USGS,05325000,80154,73410,,1969,6,249.0,30
USGS,05325000,80154,73410,,1969,7,329.9,31
USGS,05325000,80154,73410,,1969,8,137.6,31
USGS,05325000,80154,73410,,1969,9,90.1,30
USGS,05325000,80154,73410,,1969,10,72.9,31
USGS,05325000,80154,73410,,1969,11,62.9,30
USGS,05325000,80154,73410,,1969,12,51.1,31
USGS,05325000,80154,73410,,1970,1,41.5,31
USGS,05325000,80154,73410,,1970,2,56.4,28
USGS,05325000,80154,73410,,1970,3,44.1,31
USGS,05325000,80154,73410,,1970,4,266.5,30
USGS,05325000,80154,73410,,1970,5,283.6,31
USGS,05325000,80154,73410,,1970,6,311.4,30
USGS,05325000,80154,73410,,1970,7,190.5,31
USGS,05325000,80154,73410,,1970,8,62.2,31
USGS,05325000,80154,73410,,1970,9,51.3,30
USGS,05325000,80154,73410,,1970,10,154.2,31
USGS,05325000,80154,73410,,1970,11,196.1,30
USGS,05325000,80154,73410,,1970,12,63.0,31
USGS,05325000,80154,73410,,1971,1,37.2,31
USGS,05325000,80154,73410,,1971,2,43.2,28
USGS,05325000,80154,73410,,1971,3,282.8,31
USGS,05325000,80154,73410,,1971,4,257.6,30
USGS,05325000,80154,73410,,1971,5,159.9,31
USGS,05325000,80154,73410,,1971,6,455.9,30
USGS,05325000,80154,73410,,1971,7,343.7,31
USGS,05325000,80154,73410,,1971,8,141.5,31
USGS,05325000,80154,73410,,1971,9,69.0,30
USGS,05325000,80154,73410,,1971,10,101.3,31
USGS,05325000,80154,73410,,1971,11,139.1,30
USGS,05325000,80154,73410,,1971,12,96.8,31
USGS,05325000,80154,73410,,1972,1,131.2,31
USGS,05325000,80154,73410,,1972,2,89.4,29
USGS,05325000,80154,73410,,1972,3,296.9,31
USGS,05325000,80154,73410,,1972,4,210.3,30
USGS,05325000,80154,73410,,1972,5,185.6,31
USGS,05325000,80154,73410,,1972,6,257.0,30
USGS,05325000,80154,73410,,1972,7,348.8,31
USGS,05325000,80154,73410,,1972,8,215.2,31
USGS,05325000,80154,73410,,1972,9,136.5,30
USGS,05325000,80154,73410,,1972,10,73.6,31
USGS,05325000,80154,73410,,1972,11,151.9,30
USGS,05325000,80154,73410,,1972,12,91.8,31
USGS,05325000,80154,73410,,1973,1,42.5,31
USGS,05325000,80154,73410,,1973,2,26.1,28
USGS,05325000,80154,73410,,1973,3,318.6,31
USGS,05325000,80154,73410,,1973,4,179.3,30
USGS,05325000,80154,73410,,1973,5,267.1,31
USGS,05325000,80154,73410,,1973,6,217.0,30
USGS,05325000,80154,73410,,1973,7,131.0,31
USGS,05325000,80154,73410,,1973,8,121.2,31
USGS,05325000,80154,73410,,1973,9,165.1,30
USGS,05325000,80154,73410,,1973,10,205.1,31
USGS,05325000,80154,73410,,1973,11,193.4,30
USGS,05325000,80154,73410,,1973,12,128.0,31
USGS,05325000,80154,73410,,1974,1,80.5,31
USGS,05325000,80154,73410,,1974,2,58.2,28
USGS,05325000,80154,73410,,1974,3,172.6,31
USGS,05325000,80154,73410,,1974,4,341.0,30
USGS,05325000,80154,73410,,1974,5,212.1,31
USGS,05325000,80154,73410,,1974,6,393.1,30
USGS,05325000,80154,73410,,1974,7,150.2,31
USGS,05325000,80154,73410,,1974,8,148.9,31
USGS,05325000,80154,73410,,1974,9,90.5,30
USGS,05325000,80154,73410,,1974,10,76.2,31
USGS,05325000,80154,73410,,1974,11,35.3,30
USGS,05325000,80154,73410,,1974,12,59.1,31
USGS,05325000,80154,73410,,1975,1,59.1,31
USGS,05325000,80154,73410,,1975,2,39.0,28
USGS,05325000,80154,73410,,1975,3,110.2,31
USGS,05325000,80154,73410,,1975,4,464.4,30
USGS,05325000,80154,73410,,1975,5,241.9,31
