agency_cd,site_no,parameter_cd,ts_id,loc_web_ds,month_nu,day_nu,begin_yr,end_yr,count_nu,max_va_yr,max_va,min_va_yr,min_va,mean_va,p05_va,p10_va,p20_va,p25_va,p50_va,p75_va,p80_va,p90_va,p95_va
USGS,05320270,00301,73390,,6,2,2006,2006,1,2006,95.0,2006,95.0,95.0,,,,,95.0,,,,
USGS,05320270,00301,73390,,6,3,2006,2006,1,2006,93.0,2006,93.0,93.0,,,,,93.0,,,,
USGS,05320270,00301,73390,,6,4,2006,2006,1,2006,94.0,2006,94.0,94.0,,,,,94.0,,,,
USGS,05320270,00301,73390,,6,5,2006,2006,1,2006,93.0,2006,93.0,93.0,,,,,93.0,,,,
USGS,05320270,00301,73390,,6,6,2006,2006,1,2006,93.0,2006,93.0,93.0,,,,,93.0,,,,
USGS,05320270,00301,73390,,6,7,2006,2006,1,2006,96.0,2006,96.0,96.0,,,,,96.0,,,,
USGS,05320270,00301,73390,,6,8,2006,2006,1,2006,97.0,2006,97.0,97.0,,,,,97.0,,,,
USGS,05320270,00301,73390,,6,9,2006,2006,1,2006,93.0,2006,93.0,93.0,,,,,93.0,,,,
USGS,05320270,00301,73390,,6,10,2006,2006,1,2006,90.0,2006,90.0,90.0,,,,,90.0,,,,
USGS,05320270,00301,73390,,6,11,2006,2006,1,2006,94.0,2006,94.0,94.0,,,,,94.0,,,,
USGS,05320270,00301,73390,,6,12,2006,2006,1,2006,102.0,2006,102.0,102.0,,,,,102.0,,,,
USGS,05320270,00301,73390,,6,13,2006,2006,1,2006,96.0,2006,96.0,96.0,,,,,96.0,,,,
USGS,05320270,00301,73390,,6,14,2006,2006,1,2006,86.0,2006,86.0,86.0,,,,,86.0,,,,
USGS,05320270,00301,73390,,6,15,2006,2006,1,2006,89.0,2006,89.0,89.0,,,,,89.0,,,,
USGS,05320270,00301,73390,,6,16,2006,2006,1,2006,86.0,2006,86.0,86.0,,,,,86.0,,,,
USGS,05320270,00301,73390,,6,17,2006,2006,1,2006,87.0,2006,87.0,87.0,,,,,87.0,,,,
USGS,05320270,00301,73390,,7,25,2006,2006,1,2006,73.0,2006,73.0,73.0,,,,,73.0,,,,
USGS,05320270,00301,73390,,7,26,2006,2006,1,2006,72.0,2006,72.0,72.0,,,,,72.0,,,,
USGS,05320270,00301,73390,,7,27,2006,2006,1,2006,73.0,2006,73.0,73.0,,,,,73.0,,,,
USGS,05320270,00301,73390,,7,28,2006,2006,1,2006,73.0,2006,73.0,73.0,,,,,73.0,,,,
USGS,05320270,00301,73390,,7,29,2006,2006,1,2006,69.0,2006,69.0,69.0,,,,,69.0,,,,
USGS,05320270,00301,73390,,7,30,2006,2006,1,2006,61.0,2006,61.0,61.0,,,,,61.0,,,,
USGS,05320270,00301,73390,,7,31,2006,2006,1,2006,52.0,2006,52.0,52.0,,,,,52.0,,,,
USGS,05320270,00301,73390,,8,1,2006,2006,1,2006,44.0,2006,44.0,44.0,,,,,44.0,,,,
USGS,05320270,00301,73390,,8,2,2006,2006,1,2006,70.0,2006,70.0,70.0,,,,,70.0,,,,
USGS,05320270,00301,73390,,8,3,2006,2006,1,2006,81.0,2006,81.0,81.0,,,,,81.0,,,,
USGS,05320270,00301,73390,,8,4,2006,2006,1,2006,85.0,2006,85.0,85.0,,,,,85.0,,,,
USGS,05320270,00301,73390,,8,5,2006,2006,1,2006,83.0,2006,83.0,83.0,,,,,83.0,,,,
USGS,05320270,00301,73390,,8,6,2006,2006,1,2006,82.0,2006,82.0,82.0,,,,,82.0,,,,
USGS,05320270,00301,73390,,8,7,2006,2006,1,2006,85.0,2006,85.0,85.0,,,,,85.0,,,,
USGS,05320270,00301,73390,,8,8,2006,2006,1,2006,85.0,2006,85.0,85.0,,,,,85.0,,,,
USGS,05320270,00301,73390,,8,9,2006,2006,1,2006,68.0,2006,68.0,68.0,,,,,68.0,,,,
USGS,05320270,00301,73390,,8,22,2006,2006,1,2006,69.0,2006,69.0,69.0,,,,,69.0,,,,
USGS,05320270,00301,73390,,8,23,2006,2006,1,2006,74.0,2006,74.0,74.0,,,,,74.0,,,,
USGS,05320270,00301,73390,,8,24,2006,2006,1,2006,77.0,2006,77.0,77.0,,,,,77.0,,,,
USGS,05320270,00301,73390,,8,25,2006,2006,1,2006,74.0,2006,74.0,74.0,,,,,74.0,,,,
USGS,05320270,00301,73390,,8,26,2006,2006,1,2006,76.0,2006,76.0,76.0,,,,,76.0,,,,
