Activity_StartDate,Result_Measure,Result_MeasureUnit,Result_Characteristic,ResultAnalyticalMethod_Description,Result_CharacteristicGroup
1996-03-14,8.4,mg/L,Organic carbon,"DESCRIPTION: DOC in Water Filtered Through a 0.45 um Silver Filter and Analysed by Persulfate Oxidation and Infrared Spectrometry; CITATION(S): Brenton, R.W., and Arnett, T.L., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of dissolved organic carbon by UV-promoted persulfate oxidation and infrared spectrometry: U.S. Geological Survey Open-File Report 92-480, 12 p. | USGS | O-1122-92","Organics, Other"
1996-04-24,6.3,mg/L,Organic carbon,"DESCRIPTION: DOC in Water Filtered Through a 0.45 um Silver Filter and Analysed by Persulfate Oxidation and Infrared Spectrometry; CITATION(S): Brenton, R.W., and Arnett, T.L., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of dissolved organic carbon by UV-promoted persulfate oxidation and infrared spectrometry: U.S. Geological Survey Open-File Report 92-480, 12 p. | USGS | O-1122-92","Organics, Other"
1996-05-28,5.3,mg/L,Organic carbon,"DESCRIPTION: DOC in Water Filtered Through a 0.45 um Silver Filter and Analysed by Persulfate Oxidation and Infrared Spectrometry; CITATION(S): Brenton, R.W., and Arnett, T.L., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of dissolved organic carbon by UV-promoted persulfate oxidation and infrared spectrometry: U.S. Geological Survey Open-File Report 92-480, 12 p. | USGS | O-1122-92","Organics, Other"
1996-06-12,4.9,mg/L,Organic carbon,"DESCRIPTION: DOC in Water Filtered Through a 0.45 um Silver Filter and Analysed by Persulfate Oxidation and Infrared Spectrometry; CITATION(S): Brenton, R.W., and Arnett, T.L., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of dissolved organic carbon by UV-promoted persulfate oxidation and infrared spectrometry: U.S. Geological Survey Open-File Report 92-480, 12 p. | USGS | O-1122-92","Organics, Other"
1996-06-17,6.8,mg/L,Organic carbon,"DESCRIPTION: DOC in Water Filtered Through a 0.45 um Silver Filter and Analysed by Persulfate Oxidation and Infrared Spectrometry; CITATION(S): Brenton, R.W., and Arnett, T.L., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of dissolved organic carbon by UV-promoted persulfate oxidation and infrared spectrometry: U.S. Geological Survey Open-File Report 92-480, 12 p. | USGS | O-1122-92","Organics, Other"
1996-07-09,5.7,mg/L,Organic carbon,"DESCRIPTION: DOC in Water Filtered Through a 0.45 um Silver Filter and Analysed by Persulfate Oxidation and Infrared Spectrometry; CITATION(S): Brenton, R.W., and Arnett, T.L., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of dissolved organic carbon by UV-promoted persulfate oxidation and infrared spectrometry: U.S. Geological Survey Open-File Report 92-480, 12 p. | USGS | O-1122-92","Organics, Other"
1996-08-07,5.8,mg/L,Organic carbon,"DESCRIPTION: DOC in Water Filtered Through a 0.45 um Silver Filter and Analysed by Persulfate Oxidation and Infrared Spectrometry; CITATION(S): Brenton, R.W., and Arnett, T.L., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of dissolved organic carbon by UV-promoted persulfate oxidation and infrared spectrometry: U.S. Geological Survey Open-File Report 92-480, 12 p. | USGS | O-1122-92","Organics, Other"
1996-08-26,7.1,mg/L,Organic carbon,"DESCRIPTION: DOC in Water Filtered Through a 0.45 um Silver Filter and Analysed by Persulfate Oxidation and Infrared Spectrometry; CITATION(S): Brenton, R.W., and Arnett, T.L., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of dissolved organic carbon by UV-promoted persulfate oxidation and infrared spectrometry: U.S. Geological Survey Open-File Report 92-480, 12 p. | USGS | O-1122-92","Organics, Other"
1996-09-03,7.9,mg/L,Organic carbon,"DESCRIPTION: DOC in Water Filtered Through a 0.45 um Silver Filter and Analysed by Persulfate Oxidation and Infrared Spectrometry; CITATION(S): Brenton, R.W., and Arnett, T.L., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of dissolved organic carbon by UV-promoted persulfate oxidation and infrared spectrometry: U.S. Geological Survey Open-File Report 92-480, 12 p. | USGS | O-1122-92","Organics, Other"
1996-10-02,9.2,mg/L,Organic carbon,"DESCRIPTION: DOC in Water Filtered Through a 0.45 um Silver Filter and Analysed by Persulfate Oxidation and Infrared Spectrometry; CITATION(S): Brenton, R.W., and Arnett, T.L., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of dissolved organic carbon by UV-promoted persulfate oxidation and infrared spectrometry: U.S. Geological Survey Open-File Report 92-480, 12 p. | USGS | O-1122-92","Organics, Other"
1996-11-04,6.9,mg/L,Organic carbon,"DESCRIPTION: DOC in Water Filtered Through a 0.45 um Silver Filter and Analysed by Persulfate Oxidation and Infrared Spectrometry; CITATION(S): Brenton, R.W., and Arnett, T.L., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of dissolved organic carbon by UV-promoted persulfate oxidation and infrared spectrometry: U.S. Geological Survey Open-File Report 92-480, 12 p. | USGS | O-1122-92","Organics, Other"
1996-12-10,5.3,mg/L,Organic carbon,"DESCRIPTION: DOC in Water Filtered Through a 0.45 um Silver Filter and Analysed by Persulfate Oxidation and Infrared Spectrometry; CITATION(S): Brenton, R.W., and Arnett, T.L., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of dissolved organic carbon by UV-promoted persulfate oxidation and infrared spectrometry: U.S. Geological Survey Open-File Report 92-480, 12 p. | USGS | O-1122-92","Organics, Other"
1997-01-13,5.9,mg/L,Organic carbon,"DESCRIPTION: DOC in Water Filtered Through a 0.45 um Silver Filter and Analysed by Persulfate Oxidation and Infrared Spectrometry; CITATION(S): Brenton, R.W., and Arnett, T.L., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of dissolved organic carbon by UV-promoted persulfate oxidation and infrared spectrometry: U.S. Geological Survey Open-File Report 92-480, 12 p. | USGS | O-1122-92","Organics, Other"
1997-02-12,6.6,mg/L,Organic carbon,"DESCRIPTION: DOC in Water Filtered Through a 0.45 um Silver Filter and Analysed by Persulfate Oxidation and Infrared Spectrometry; CITATION(S): Brenton, R.W., and Arnett, T.L., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of dissolved organic carbon by UV-promoted persulfate oxidation and infrared spectrometry: U.S. Geological Survey Open-File Report 92-480, 12 p. | USGS | O-1122-92","Organics, Other"
1997-03-05,7.6,mg/L,Organic carbon,"DESCRIPTION: DOC in Water Filtered Through a 0.45 um Silver Filter and Analysed by Persulfate Oxidation and Infrared Spectrometry; CITATION(S): Brenton, R.W., and Arnett, T.L., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of dissolved organic carbon by UV-promoted persulfate oxidation and infrared spectrometry: U.S. Geological Survey Open-File Report 92-480, 12 p. | USGS | O-1122-92","Organics, Other"
1997-03-18,8.1,mg/L,Organic carbon,"DESCRIPTION: DOC in Water Filtered Through a 0.45 um Silver Filter and Analysed by Persulfate Oxidation and Infrared Spectrometry; CITATION(S): Brenton, R.W., and Arnett, T.L., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of dissolved organic carbon by UV-promoted persulfate oxidation and infrared spectrometry: U.S. Geological Survey Open-File Report 92-480, 12 p. | USGS | O-1122-92","Organics, Other"
