agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,data_type_cd,parm_cd,stat_cd,ts_id,loc_web_ds,medium_grp_cd,parm_grp_cd,srs_id,access_cd,begin_date,end_date,count_nu
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,20.0,,0,,sed,PHY,1645720,0,1995-08-02,2009-08-12,2
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,20.0,,0,,wat,PHY,1645720,0,1996-03-14,2011-09-01,173
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,25.0,,0,,sed,PHY,1641265,0,1995-08-02,2009-08-12,2
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,25.0,,0,,wat,PHY,1641265,0,1996-03-14,2011-09-01,163
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,28.0,,0,,bio,INF,0,0,1996-08-07,2006-08-21,5
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,28.0,,0,,sed,INF,0,0,1995-08-02,1995-08-02,1
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,28.0,,0,,wat,INF,0,0,1996-03-14,2007-01-24,155
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,29.0,,0,,wat,INF,0,0,1998-07-15,1998-07-15,1
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,41.0,,0,,sed,INF,0,0,2009-08-12,2009-08-12,1
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,41.0,,0,,wat,INF,0,0,2001-03-05,2010-12-28,70
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,55.0,,0,,sed,PHY,1645530,0,2009-08-12,2009-08-12,1
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,55.0,,0,,wat,PHY,1645530,0,2005-10-12,2010-12-28,36
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,60.0,,0,,bio,PHY,1645423,0,1996-08-07,1997-07-09,2
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,60.0,,0,,wat,PHY,1645423,0,1996-04-24,1999-09-30,80
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,61.0,,0,,bio,PHY,1645415,0,1997-07-09,1997-07-09,1
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,61.0,,0,,sed,PHY,1645415,0,1995-08-02,2009-08-12,2
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,61.0,,0,,wat,PHY,1645415,0,1996-03-14,2011-09-20,248
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,63.0,,0,,sed,INF,0,0,1995-08-02,2009-08-12,2
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,63.0,,0,,wat,INF,0,0,2001-03-05,2011-09-20,131
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,64.0,,0,,wat,PHY,1641984,0,2010-09-28,2011-06-15,4
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,65.0,,0,,bio,PHY,17164583,0,1997-07-09,1997-07-09,1
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,65.0,,0,,sed,PHY,17164583,0,2009-08-12,2009-08-12,1
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,65.0,,0,,wat,PHY,17164583,0,1996-03-14,2011-09-20,215
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,95.0,,0,,sed,PHY,1646694,0,1995-08-02,2009-08-12,2
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,95.0,,0,,wat,PHY,1646694,0,1996-03-14,2011-09-20,214
