Activity_StartDate,Result_Measure,Result_MeasureUnit,Result_Characteristic,ResultAnalyticalMethod_Description,Result_CharacteristicGroup
1971-05-27,95,% passing,Bed sediment particle size,,Sediment
1971-05-27,95,% passing,Bed sediment particle size,,Sediment
1972-03-21,92,% passing,Bed sediment particle size,,Sediment
1972-05-12,92,% passing,Bed sediment particle size,,Sediment
1972-07-20,94,% passing,Bed sediment particle size,,Sediment
1973-03-27,81,% passing,Bed sediment particle size,,Sediment
1974-06-11,83,% passing,Bed sediment particle size,,Sediment
1974-10-31,50,% passing,Bed sediment particle size,,Sediment
1975-07-09,87,% passing,Bed sediment particle size,,Sediment
1976-06-09,44,% passing,Bed sediment particle size,,Sediment
1977-07-14,65,% passing,Bed sediment particle size,,Sediment
