Activity_StartDate,Result_Measure,Result_MeasureUnit,Result_Characteristic,ResultAnalyticalMethod_Description,Result_CharacteristicGroup
1968-10-17,580,ug/L,Iron,,"Inorganics, Minor, Metals"
1969-09-05,0,ug/L,Iron,,"Inorganics, Minor, Metals"
