Activity_StartDate,Result_Measure,Result_MeasureUnit,Result_Characteristic,ResultAnalyticalMethod_Description,Result_CharacteristicGroup
1995-08-02,1.3,g/kg,Inorganic carbon,"DESCRIPTION: Van Slyke, Inorganic carbon, BTM; CITATION(S): No citations are available for this method","Inorganics, Major, Non-metals"
2008-09-30,5.7,g/kg,Inorganic carbon,"DESCRIPTION: Coulometric, Inorganic Carbon, for NAWQA, BTM; CITATION(S): Williams, R.S., 1998, Change in the analytical method Used for the determination of inorganic carbon in sediment: Denver, Colorado, U.S. Geological Survey National Water Quality Laboratory Technical Memorandum 1998.08, 5 p.","Inorganics, Major, Non-metals"
