agency_cd,site_no,parameter_cd,ts_id,loc_web_ds,year_nu,mean_va,count_nu
USGS,05325000,80155,73411,,1967,102.9,92
USGS,05325000,80155,73411,,1968,4307.0,366
USGS,05325000,80155,73411,,1969,7796.0,365
USGS,05325000,80155,73411,,1970,1814.0,365
USGS,05325000,80155,73411,,1971,3115.0,365
USGS,05325000,80155,73411,,1972,2727.0,366
USGS,05325000,80155,73411,,1973,2556.0,365
USGS,05325000,80155,73411,,1974,1596.0,365
USGS,05325000,80155,73411,,1975,2657.0,365
USGS,05325000,80155,73411,,1976,477.5,366
USGS,05325000,80155,73411,,1977,716.3,365
USGS,05325000,80155,73411,,1978,1712.0,365
USGS,05325000,80155,73411,,1979,4215.0,365
USGS,05325000,80155,73411,,1980,1911.0,366
USGS,05325000,80155,73411,,1981,2269.0,365
USGS,05325000,80155,73411,,1982,4235.0,365
USGS,05325000,80155,73411,,1983,5050.0,365
USGS,05325000,80155,73411,,1984,6422.0,366
USGS,05325000,80155,73411,,1985,3336.0,365
USGS,05325000,80155,73411,,1986,5526.0,365
USGS,05325000,80155,73411,,1987,962.4,365
USGS,05325000,80155,73411,,1988,460.6,366
USGS,05325000,80155,73411,,1989,627.8,365
USGS,05325000,80155,73411,,1990,1446.0,365
USGS,05325000,80155,73411,,1991,5791.0,365
USGS,05325000,80155,73411,,1992,4626.0,366
USGS,05325000,80155,73411,,1993,11770.0,365
USGS,05325000,80155,73411,,1994,5345.0,365
USGS,05325000,80155,73411,,1995,7395.0,365
USGS,05325000,80155,73411,,1996,4188.0,366
USGS,05325000,80155,73411,,1997,7038.0,365
USGS,05325000,80155,73411,,1998,3618.0,365
USGS,05325000,80155,73411,,1999,5355.0,365
USGS,05325000,80155,73411,,2000,3151.0,366
USGS,05325000,80155,73411,,2001,6666.0,365
USGS,05325000,80155,73411,,2002,1990.0,365
USGS,05325000,80155,73411,,2003,1412.0,365
USGS,05325000,80155,73411,,2004,4944.0,366
USGS,05325000,80155,73411,,2005,6608.0,365
USGS,05325000,80155,73411,,2006,4711.0,365
USGS,05325000,80155,73411,,2007,4556.0,365
USGS,05325000,80155,73411,,2008,3443.0,366
USGS,05325000,80155,73411,,2009,2281.0,365
USGS,05325000,80155,73411,,2010,8491.0,365
USGS,05325000,80155,73411,,2011,4827.0,365
USGS,05325000,80155,73411,,2012,1370.0,366
USGS,05325000,80155,73411,,2013,2584.0,365
USGS,05325000,80155,73411,,2014,5087.0,365
USGS,05325000,80155,73411,,2015,2263.0,365
USGS,05325000,80155,73411,,2016,8879.0,366
USGS,05325000,80155,73411,,2017,5455.0,272
