Activity_StartDate,Result_Measure,Result_MeasureUnit,Result_Characteristic,ResultAnalyticalMethod_Description,Result_CharacteristicGroup
1960-10-04,348,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1961-03-20,237,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1961-05-16,234,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1962-04-02,120,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1963-02-26,437,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1963-10-22,290,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1963-11-07,324,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1963-12-10,384,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1964-01-16,540,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1964-02-25,368,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1964-04-03,284,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1964-05-13,256,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1964-05-14,254,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1964-06-17,299,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1964-07-15,220,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1964-08-11,182,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1964-09-13,256,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1964-09-22,308,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1964-10-09,361,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1964-11-16,304,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1964-12-09,468,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1965-01-07,350,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1965-02-10,368,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1965-03-25,251,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1965-04-29,234,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1965-05-02,292,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1965-05-25,292,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1965-07-13,302,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1965-08-18,279,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1965-09-20,297,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1965-10-15,361,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1965-11-30,416,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1965-12-15,277,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1966-01-12,476,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1966-02-15,154,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1966-04-21,333,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1966-05-25,271,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1966-06-24,193,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1966-07-27,241,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1966-08-18,284,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1966-10-18,288,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1967-02-28,406,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1967-07-12,289,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1969-09-12,363,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
