agency_cd,site_no,parameter_cd,ts_id,loc_web_ds,year_nu,month_nu,mean_va,count_nu
USGS,05320500,00060,325200,,1952,5,391.0,31
USGS,05320500,00060,325200,,1952,6,443.3,30
USGS,05320500,00060,325200,,1952,7,510.4,31
USGS,05320500,00060,325200,,1952,8,106.9,31
USGS,05320500,00060,325200,,1952,9,91.2,30
USGS,05320500,00060,325200,,1952,10,21.1,31
USGS,05320500,00060,325200,,1952,11,22.0,30
USGS,05320500,00060,325200,,1952,12,17.6,31
USGS,05320500,00060,325200,,1953,1,19.3,31
USGS,05320500,00060,325200,,1953,2,18.8,28
USGS,05320500,00060,325200,,1953,3,701.7,31
USGS,05320500,00060,325200,,1953,4,578.6,30
USGS,05320500,00060,325200,,1953,5,1752.0,31
USGS,05320500,00060,325200,,1953,6,999.2,30
USGS,05320500,00060,325200,,1953,7,333.8,31
USGS,05320500,00060,325200,,1953,8,1231.0,31
USGS,05320500,00060,325200,,1953,9,37.7,30
USGS,05320500,00060,325200,,1953,10,22.9,31
USGS,05320500,00060,325200,,1953,11,26.8,30
USGS,05320500,00060,325200,,1953,12,28.5,31
USGS,05320500,00060,325200,,1954,1,15.7,31
USGS,05320500,00060,325200,,1954,2,33.4,28
USGS,05320500,00060,325200,,1954,3,195.1,31
USGS,05320500,00060,325200,,1954,4,117.8,30
USGS,05320500,00060,325200,,1954,5,483.1,31
USGS,05320500,00060,325200,,1954,6,617.2,30
USGS,05320500,00060,325200,,1954,7,116.7,31
USGS,05320500,00060,325200,,1954,8,38.4,31
USGS,05320500,00060,325200,,1954,9,45.7,30
USGS,05320500,00060,325200,,1954,10,79.9,31
USGS,05320500,00060,325200,,1954,11,67.5,30
USGS,05320500,00060,325200,,1954,12,32.3,31
USGS,05320500,00060,325200,,1955,1,22.8,31
USGS,05320500,00060,325200,,1955,2,19.8,28
USGS,05320500,00060,325200,,1955,3,491.1,31
USGS,05320500,00060,325200,,1955,4,337.9,30
USGS,05320500,00060,325200,,1955,5,111.0,31
USGS,05320500,00060,325200,,1955,6,196.2,30
USGS,05320500,00060,325200,,1955,7,101.6,31
USGS,05320500,00060,325200,,1955,8,10.6,31
USGS,05320500,00060,325200,,1955,9,7.87,30
USGS,05320500,00060,325200,,1955,10,11.3,31
USGS,05320500,00060,325200,,1955,11,11.1,30
USGS,05320500,00060,325200,,1955,12,5.81,31
USGS,05320500,00060,325200,,1956,1,8.85,31
USGS,05320500,00060,325200,,1956,2,9.41,29
USGS,05320500,00060,325200,,1956,3,39.8,31
USGS,05320500,00060,325200,,1956,4,257.2,30
USGS,05320500,00060,325200,,1956,5,132.7,31
USGS,05320500,00060,325200,,1956,6,1138.0,30
USGS,05320500,00060,325200,,1956,7,283.4,31
USGS,05320500,00060,325200,,1956,8,133.9,31
USGS,05320500,00060,325200,,1956,9,15.3,30
USGS,05320500,00060,325200,,1956,10,10.5,31
USGS,05320500,00060,325200,,1956,11,16.3,30
USGS,05320500,00060,325200,,1956,12,8.25,31
USGS,05320500,00060,325200,,1957,1,2.96,31
USGS,05320500,00060,325200,,1957,2,6.35,28
USGS,05320500,00060,325200,,1957,3,78.7,31
USGS,05320500,00060,325200,,1957,4,48.3,30
USGS,05320500,00060,325200,,1957,5,88.7,31
USGS,05320500,00060,325200,,1957,6,133.8,30
USGS,05320500,00060,325200,,1957,7,387.2,31
USGS,05320500,00060,325200,,1957,8,185.1,31
