Activity_StartDate,Result_Measure,Result_MeasureUnit,Result_Characteristic,ResultAnalyticalMethod_Description,Result_CharacteristicGroup
1972-05-12,16,% passing,Suspended sediment particle size,,Sediment
1972-07-20,31,% passing,Suspended sediment particle size,,Sediment
1974-03-06,25,% passing,Suspended sediment particle size,,Sediment
1974-03-12,30,% passing,Suspended sediment particle size,,Sediment
1975-04-16,30,% passing,Suspended sediment particle size,,Sediment
1975-05-02,64,% passing,Suspended sediment particle size,,Sediment
1981-06-24,60,% passing,Suspended sediment particle size,,Sediment
1983-03-04,33,% passing,Suspended sediment particle size,,Sediment
1984-03-28,36,% passing,Suspended sediment particle size,,Sediment
1985-03-13,38,% passing,Suspended sediment particle size,,Sediment
1985-03-14,38,% passing,Suspended sediment particle size,,Sediment
1986-04-29,46,% passing,Suspended sediment particle size,,Sediment
1989-03-29,31,% passing,Suspended sediment particle size,,Sediment
1990-06-15,31,% passing,Suspended sediment particle size,,Sediment
1990-06-20,50,% passing,Suspended sediment particle size,,Sediment
2009-04-01,20,% passing,Suspended sediment particle size,"DESCRIPTION: Pipet; CITATION(S): Blanchard, S.F., 2003, Water Resources Discipline policy on storage and publication of fluvial-sediment data with updated method codes: U.S. Geological Survey, Office of Surface Water Technical Memorandum No. 2004.01, December 16, 2003, 4 p.",Sediment
2010-09-28,37,% passing,Suspended sediment particle size,"DESCRIPTION: Pipet; CITATION(S): Blanchard, S.F., 2003, Water Resources Discipline policy on storage and publication of fluvial-sediment data with updated method codes: U.S. Geological Survey, Office of Surface Water Technical Memorandum No. 2004.01, December 16, 2003, 4 p.",Sediment
