Activity_StartDate,Result_Measure,Result_MeasureUnit,Result_Characteristic,ResultAnalyticalMethod_Description,Result_CharacteristicGroup
1989-08-28,0.50,mg/L,Kjeldahl nitrogen,"DESCRIPTION: Ammonia plus organic nitrogen in unfiltered water by automated segmented flow (ASF) block digestion with sulfuric acid-mercuric sulfate, reaction with salicylate-hypochlorite, and colorimetry; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 327-330. | USGS | I-4552-85",Nutrient
1990-01-31,0.60,mg/L,Kjeldahl nitrogen,"DESCRIPTION: Ammonia plus organic nitrogen in unfiltered water by automated segmented flow (ASF) block digestion with sulfuric acid-mercuric sulfate, reaction with salicylate-hypochlorite, and colorimetry; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 327-330. | USGS | I-4552-85",Nutrient
1990-03-11,1.6,mg/L,Kjeldahl nitrogen,"DESCRIPTION: Ammonia plus organic nitrogen in unfiltered water by automated segmented flow (ASF) block digestion with sulfuric acid-mercuric sulfate, reaction with salicylate-hypochlorite, and colorimetry; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 327-330. | USGS | I-4552-85",Nutrient
1990-03-13,2.3,mg/L,Kjeldahl nitrogen,"DESCRIPTION: Ammonia plus organic nitrogen in unfiltered water by automated segmented flow (ASF) block digestion with sulfuric acid-mercuric sulfate, reaction with salicylate-hypochlorite, and colorimetry; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 327-330. | USGS | I-4552-85",Nutrient
1990-03-14,1.8,mg/L,Kjeldahl nitrogen,"DESCRIPTION: Ammonia plus organic nitrogen in unfiltered water by automated segmented flow (ASF) block digestion with sulfuric acid-mercuric sulfate, reaction with salicylate-hypochlorite, and colorimetry; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 327-330. | USGS | I-4552-85",Nutrient
1990-03-16,3.4,mg/L,Kjeldahl nitrogen,"DESCRIPTION: Ammonia plus organic nitrogen in unfiltered water by automated segmented flow (ASF) block digestion with sulfuric acid-mercuric sulfate, reaction with salicylate-hypochlorite, and colorimetry; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 327-330. | USGS | I-4552-85",Nutrient
1990-03-21,2.6,mg/L,Kjeldahl nitrogen,"DESCRIPTION: Ammonia plus organic nitrogen in unfiltered water by automated segmented flow (ASF) block digestion with sulfuric acid-mercuric sulfate, reaction with salicylate-hypochlorite, and colorimetry; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 327-330. | USGS | I-4552-85",Nutrient
1990-03-28,1.6,mg/L,Kjeldahl nitrogen,"DESCRIPTION: Ammonia plus organic nitrogen in unfiltered water by automated segmented flow (ASF) block digestion with sulfuric acid-mercuric sulfate, reaction with salicylate-hypochlorite, and colorimetry; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 327-330. | USGS | I-4552-85",Nutrient
1990-05-31,1.8,mg/L,Kjeldahl nitrogen,"DESCRIPTION: Ammonia plus organic nitrogen in unfiltered water by automated segmented flow (ASF) block digestion with sulfuric acid-mercuric sulfate, reaction with salicylate-hypochlorite, and colorimetry; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 327-330. | USGS | I-4552-85",Nutrient
1990-08-29,1.8,mg/L,Kjeldahl nitrogen,"DESCRIPTION: Ammonia plus organic nitrogen in unfiltered water by automated segmented flow (ASF) block digestion with sulfuric acid-mercuric sulfate, reaction with salicylate-hypochlorite, and colorimetry; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 327-330. | USGS | I-4552-85",Nutrient
