agency_cd,site_no,parameter_cd,ts_id,loc_web_ds,month_nu,day_nu,begin_yr,end_yr,count_nu,max_va_yr,max_va,min_va_yr,min_va,mean_va,p05_va,p10_va,p20_va,p25_va,p50_va,p75_va,p80_va,p90_va,p95_va
USGS,05320270,00060,73387,,1,1,1997,2012,15,2011,115.0,2004,0.0,17.0,,0.0,0.22,0.68,8.1,19.0,31.0,68.0,
USGS,05320270,00060,73387,,1,2,1997,2012,15,2011,145.0,2004,0.0,23.0,,0.0,0.23,0.73,7.3,19.0,34.0,111.0,
USGS,05320270,00060,73387,,1,3,1997,2012,15,2011,144.0,2004,0.0,24.0,,0.0,0.23,0.74,7.3,20.0,36.0,127.0,
USGS,05320270,00060,73387,,1,4,1997,2012,15,2011,107.0,2004,0.0,21.0,,0.0,0.2,0.6,7.6,20.0,38.0,100.0,
USGS,05320270,00060,73387,,1,5,1997,2012,15,2011,110.0,2004,0.0,20.0,,0.0,0.18,0.5,7.6,21.0,43.0,91.0,
USGS,05320270,00060,73387,,1,6,1997,2012,15,2011,81.4,2004,0.0,18.0,,0.0,0.17,0.47,7.7,21.0,47.0,74.0,
USGS,05320270,00060,73387,,1,7,1997,2012,15,2011,79.5,2004,0.0,18.0,,0.0,0.17,0.44,7.9,21.0,49.0,72.0,
USGS,05320270,00060,73387,,1,8,1997,2012,15,2011,81.2,2004,0.0,17.0,,0.0,0.16,0.4,7.4,21.0,46.0,68.0,
USGS,05320270,00060,73387,,1,9,1997,2012,15,2011,77.3,2004,0.0,16.0,,0.0,0.16,0.39,7.0,21.0,44.0,61.0,
USGS,05320270,00060,73387,,1,10,1997,2012,15,2011,77.3,2004,0.0,15.0,,0.0,0.16,0.38,5.7,20.0,35.0,62.0,
USGS,05320270,00060,73387,,1,11,1997,2012,15,2011,73.5,2004,0.0,15.0,,0.0,0.07,0.37,5.3,20.0,34.0,64.0,
USGS,05320270,00060,73387,,1,12,1997,2012,15,2011,67.1,2004,0.0,14.0,,0.0,0.07,0.36,6.3,20.0,29.0,60.0,
USGS,05320270,00060,73387,,1,13,1997,2012,15,2011,70.3,2004,0.0,14.0,,0.0,0.07,0.37,5.7,20.0,26.0,61.0,
USGS,05320270,00060,73387,,1,14,1997,2012,14,2011,72.2,2004,0.0,15.0,,0.0,0.0,0.29,5.4,20.0,25.0,61.0,
USGS,05320270,00060,73387,,1,15,1997,2012,14,2011,66.5,2004,0.0,14.0,,0.0,0.0,0.3,5.5,19.0,19.0,60.0,
USGS,05320270,00060,73387,,1,16,1997,2012,15,2011,63.3,2004,0.0,13.0,,0.0,0.09,0.43,4.3,18.0,19.0,58.0,
