Activity_StartDate,Result_Measure,Result_MeasureUnit,Result_Characteristic,ResultAnalyticalMethod_Description,Result_CharacteristicGroup
1960-10-04,809,ft,Altitude,,Information
1961-03-20,809,ft,Altitude,,Information
1961-05-16,809,ft,Altitude,,Information
1964-10-09,809,ft,Altitude,,Information
1964-11-16,809,ft,Altitude,,Information
1964-12-09,809,ft,Altitude,,Information
1965-01-07,809,ft,Altitude,,Information
1965-02-10,809,ft,Altitude,,Information
1965-03-25,809,ft,Altitude,,Information
1965-04-29,809,ft,Altitude,,Information
1965-05-25,809,ft,Altitude,,Information
1965-07-13,809,ft,Altitude,,Information
1965-08-18,809,ft,Altitude,,Information
1965-09-20,809,ft,Altitude,,Information
1965-10-15,809,ft,Altitude,,Information
1965-11-30,809,ft,Altitude,,Information
1965-12-15,809,ft,Altitude,,Information
1966-01-12,809,ft,Altitude,,Information
1966-02-15,809,ft,Altitude,,Information
1966-04-21,809,ft,Altitude,,Information
1966-05-25,809,ft,Altitude,,Information
1966-06-24,809,ft,Altitude,,Information
1966-07-27,809,ft,Altitude,,Information
1966-08-18,809,ft,Altitude,,Information
1966-10-18,809,ft,Altitude,,Information
1967-02-28,809,ft,Altitude,,Information
1967-07-12,809,ft,Altitude,,Information
