Activity_StartDate,Result_Measure,Result_MeasureUnit,Result_Characteristic,ResultAnalyticalMethod_Description,Result_CharacteristicGroup
1967-10-12,420,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1968-10-17,232,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
1969-09-05,282,mg/L,Bicarbonate,,"Inorganics, Major, Non-metals"
