Activity_StartDate,Result_Measure,Result_MeasureUnit,Result_Characteristic,ResultAnalyticalMethod_Description,Result_CharacteristicGroup
1996-03-14,47.0,mg/L,Calcium,"DESCRIPTION: Metals, filtered water, Inductively coupled plasma-atomic emmission spectrometry (NWQL); CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 101-112. | USGS | I-1472-87","Inorganics, Major, Metals"
1996-04-24,80.0,mg/L,Calcium,"DESCRIPTION: Metals, filtered water, Inductively coupled plasma-atomic emmission spectrometry (NWQL); CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 101-112. | USGS | I-1472-87","Inorganics, Major, Metals"
1996-05-28,84.0,mg/L,Calcium,"DESCRIPTION: Metals, filtered water, Inductively coupled plasma-atomic emmission spectrometry (NWQL); CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 101-112. | USGS | I-1472-87","Inorganics, Major, Metals"
1996-06-12,73.0,mg/L,Calcium,"DESCRIPTION: Metals, filtered water, Inductively coupled plasma-atomic emmission spectrometry (NWQL); CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 101-112. | USGS | I-1472-87","Inorganics, Major, Metals"
1996-06-17,47.0,mg/L,Calcium,"DESCRIPTION: Metals, filtered water, Inductively coupled plasma-atomic emmission spectrometry (NWQL); CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 101-112. | USGS | I-1472-87","Inorganics, Major, Metals"
1996-07-09,63.0,mg/L,Calcium,"DESCRIPTION: Metals, filtered water, Inductively coupled plasma-atomic emmission spectrometry (NWQL); CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 101-112. | USGS | I-1472-87","Inorganics, Major, Metals"
1996-08-07,50.0,mg/L,Calcium,"DESCRIPTION: Metals, filtered water, Inductively coupled plasma-atomic emmission spectrometry (NWQL); CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 101-112. | USGS | I-1472-87","Inorganics, Major, Metals"
1996-08-26,48.0,mg/L,Calcium,"DESCRIPTION: Metals, filtered water, Inductively coupled plasma-atomic emmission spectrometry (NWQL); CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 101-112. | USGS | I-1472-87","Inorganics, Major, Metals"
1996-09-03,84.0,mg/L,Calcium,"DESCRIPTION: Metals, filtered water, Inductively coupled plasma-atomic emmission spectrometry (NWQL); CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 101-112. | USGS | I-1472-87","Inorganics, Major, Metals"
1996-10-02,69.0,mg/L,Calcium,"DESCRIPTION: Metals, filtered water, Inductively coupled plasma-atomic emmission spectrometry (NWQL); CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 101-112. | USGS | I-1472-87","Inorganics, Major, Metals"
1996-11-04,91.0,mg/L,Calcium,"DESCRIPTION: Metals, filtered water, Inductively coupled plasma-atomic emmission spectrometry (NWQL); CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 101-112. | USGS | I-1472-87","Inorganics, Major, Metals"
1996-12-10,110,mg/L,Calcium,"DESCRIPTION: Metals, filtered water, Inductively coupled plasma-atomic emmission spectrometry (NWQL); CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 101-112. | USGS | I-1472-87","Inorganics, Major, Metals"
1997-01-13,110,mg/L,Calcium,"DESCRIPTION: Metals, filtered water, Inductively coupled plasma-atomic emmission spectrometry (NWQL); CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 101-112. | USGS | I-1472-87","Inorganics, Major, Metals"
1997-02-12,110,mg/L,Calcium,"DESCRIPTION: Metals, filtered water, Inductively coupled plasma-atomic emmission spectrometry (NWQL); CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 101-112. | USGS | I-1472-87","Inorganics, Major, Metals"
1997-03-05,54.0,mg/L,Calcium,"DESCRIPTION: Metals, filtered water, Inductively coupled plasma-atomic emmission spectrometry (NWQL); CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 101-112. | USGS | I-1472-87","Inorganics, Major, Metals"
