agency_cd,site_no,parameter_cd,ts_id,loc_web_ds,year_nu,month_nu,mean_va,count_nu
USGS,05320270,00095,73399,,1996,4,610.2,19
USGS,05320270,00095,73399,,1996,5,663.2,31
USGS,05320270,00095,73399,,1996,6,590.0,30
USGS,05320270,00095,73399,,1996,7,546.0,31
USGS,05320270,00095,73399,,1996,8,560.7,28
USGS,05320270,00095,73399,,1996,9,615.0,30
USGS,05320270,00095,73399,,1996,10,617.6,31
USGS,05320270,00095,73399,,1996,11,741.3,30
USGS,05320270,00095,73399,,1996,12,781.6,31
USGS,05320270,00095,73399,,1997,1,820.1,31
USGS,05320270,00095,73399,,1997,2,769.0,28
USGS,05320270,00095,73399,,1997,3,481.6,31
USGS,05320270,00095,73399,,1997,4,606.4,30
USGS,05320270,00095,73399,,1997,5,627.7,31
USGS,05320270,00095,73399,,1997,6,605.8,30
USGS,05320270,00095,73399,,1997,7,658.7,31
USGS,05320270,00095,73399,,1997,8,544.3,31
USGS,05320270,00095,73399,,1997,9,574.9,30
USGS,05320270,00095,73399,,1997,10,646.6,31
USGS,05320270,00095,73399,,1997,11,592.8,4
USGS,05320270,00095,73399,,1997,12,765.9,20
USGS,05320270,00095,73399,,1998,1,818.2,9
USGS,05320270,00095,73399,,1998,2,541.7,3
USGS,05320270,00095,73399,,1998,3,638.7,29
USGS,05320270,00095,73399,,1998,4,636.4,30
USGS,05320270,00095,73399,,1998,5,647.2,30
USGS,05320270,00095,73399,,1998,6,653.8,30
USGS,05320270,00095,73399,,1998,7,614.5,31
USGS,05320270,00095,73399,,1998,8,547.4,15
USGS,05320270,00095,73399,,1998,9,571.6,7
USGS,05320270,00095,73399,,2005,6,617.4,23
USGS,05320270,00095,73399,,2005,7,550.4,29
USGS,05320270,00095,73399,,2005,8,499.0,31
USGS,05320270,00095,73399,,2005,9,560.8,4
USGS,05320270,00095,73399,,2006,6,593.4,19
USGS,05320270,00095,73399,,2006,7,522.3,7
USGS,05320270,00095,73399,,2006,8,517.1,8
