Activity_StartDate,Result_Measure,Result_MeasureUnit,Result_Characteristic,ResultAnalyticalMethod_Description,Result_CharacteristicGroup
1968-06-29,72,% passing,Suspended sediment particle size,,Sediment
1968-07-25,68,% passing,Suspended sediment particle size,,Sediment
1968-07-26,80,% passing,Suspended sediment particle size,,Sediment
1968-08-08,81,% passing,Suspended sediment particle size,,Sediment
1995-03-17,71,% passing,Suspended sediment particle size,,Sediment
