agency_cd,site_no,parameter_cd,ts_id,loc_web_ds,year_nu,mean_va,count_nu
USGS,05320270,00060,73387,,1996,63.8,275
USGS,05320270,00060,73387,,1997,74.3,365
USGS,05320270,00060,73387,,1998,69.7,365
USGS,05320270,00060,73387,,1999,108.7,365
USGS,05320270,00060,73387,,2000,22.9,84
USGS,05320270,00060,73387,,2001,8.36,187
USGS,05320270,00060,73387,,2002,38.6,365
USGS,05320270,00060,73387,,2003,37.0,365
USGS,05320270,00060,73387,,2004,81.2,366
USGS,05320270,00060,73387,,2005,87.8,365
USGS,05320270,00060,73387,,2006,77.1,365
USGS,05320270,00060,73387,,2007,112.4,365
USGS,05320270,00060,73387,,2008,51.0,366
USGS,05320270,00060,73387,,2009,24.6,365
USGS,05320270,00060,73387,,2010,219.1,365
USGS,05320270,00060,73387,,2011,156.8,365
USGS,05320270,00060,73387,,2012,27.7,288
