datetimeUTC,USGS:05320270:00301:00001,USGS:05320270:00301:00001_qualifiers,USGS:05320270:00301:00002,USGS:05320270:00301:00002_qualifiers,USGS:05320270:00301:00003,USGS:05320270:00301:00003_qualifiers
2006-06-02 00:00:00+00:00,111.0,A,82.0,A,95.0,A
2006-06-03 00:00:00+00:00,106.0,A,82.0,A,93.0,A
2006-06-04 00:00:00+00:00,110.0,A,81.0,A,94.0,A
2006-06-05 00:00:00+00:00,106.0,A,82.0,A,93.0,A
2006-06-06 00:00:00+00:00,110.0,A,81.0,A,93.0,A
2006-06-07 00:00:00+00:00,114.0,A,82.0,A,96.0,A
2006-06-08 00:00:00+00:00,115.0,A,81.0,A,97.0,A
2006-06-09 00:00:00+00:00,103.0,A,82.0,A,93.0,A
2006-06-10 00:00:00+00:00,95.0,A,85.0,A,90.0,A
2006-06-11 00:00:00+00:00,100.0,A,90.0,A,94.0,A
2006-06-12 00:00:00+00:00,115.0,A,93.0,A,102.0,A
2006-06-13 00:00:00+00:00,104.0,A,91.0,A,96.0,A
2006-06-14 00:00:00+00:00,91.0,A,83.0,A,86.0,A
2006-06-15 00:00:00+00:00,100.0,A,83.0,A,89.0,A
2006-06-16 00:00:00+00:00,98.0,A,80.0,A,86.0,A
2006-06-17 00:00:00+00:00,103.0,A,75.0,A,87.0,A
2006-06-18 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-06-19 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-06-20 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-06-21 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-06-22 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-06-23 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-06-24 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-06-25 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-06-26 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-06-27 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-06-28 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-06-29 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-06-30 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-07-01 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-07-02 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-07-03 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-07-04 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-07-05 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-07-06 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-07-07 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-07-08 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-07-09 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-07-10 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-07-11 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-07-12 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-07-13 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-07-14 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-07-15 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-07-16 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-07-17 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-07-18 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-07-19 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-07-20 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-07-21 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-07-22 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-07-23 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-07-24 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-07-25 00:00:00+00:00,93.0,A,60.0,A,73.0,A
2006-07-26 00:00:00+00:00,91.0,A,60.0,A,72.0,A
2006-07-27 00:00:00+00:00,97.0,A,56.0,A,73.0,A
2006-07-28 00:00:00+00:00,98.0,A,55.0,A,73.0,A
2006-07-29 00:00:00+00:00,93.0,A,49.0,A,69.0,A
2006-07-30 00:00:00+00:00,80.0,A,45.0,A,61.0,A
2006-07-31 00:00:00+00:00,77.0,A,37.0,A,52.0,A
2006-08-01 00:00:00+00:00,54.0,A,36.0,A,44.0,A
2006-08-02 00:00:00+00:00,79.0,A,49.0,A,70.0,A
2006-08-03 00:00:00+00:00,89.0,A,75.0,A,81.0,A
2006-08-04 00:00:00+00:00,96.0,A,76.0,A,85.0,A
2006-08-05 00:00:00+00:00,94.0,A,75.0,A,83.0,A
2006-08-06 00:00:00+00:00,99.0,A,70.0,A,82.0,A
2006-08-07 00:00:00+00:00,105.0,A,72.0,A,85.0,A
2006-08-08 00:00:00+00:00,103.0,A,71.0,A,85.0,A
2006-08-09 00:00:00+00:00,80.0,A,58.0,A,68.0,A
2006-08-10 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
2006-08-11 00:00:00+00:00,,hf.missing,,hf.missing,,hf.missing
