Activity_StartDate,Result_Measure,Result_MeasureUnit,Result_Characteristic,ResultAnalyticalMethod_Description,Result_CharacteristicGroup
2013-05-07,0.0,ft,Sample location,,Information
2013-06-26,150.0,ft,Sample location,,Information
2013-06-30,200.0,ft,Sample location,,Information
