agency_cd,site_no,parameter_cd,ts_id,loc_web_ds,year_nu,month_nu,mean_va,count_nu
USGS,05325000,80155,73411,,1967,10,93.6,31
USGS,05325000,80155,73411,,1967,11,122.5,30
USGS,05325000,80155,73411,,1967,12,93.2,31
USGS,05325000,80155,73411,,1968,1,27.3,31
USGS,05325000,80155,73411,,1968,2,35.9,29
USGS,05325000,80155,73411,,1968,3,103.2,31
USGS,05325000,80155,73411,,1968,4,527.1,30
USGS,05325000,80155,73411,,1968,5,336.4,31
USGS,05325000,80155,73411,,1968,6,2582.0,30
USGS,05325000,80155,73411,,1968,7,9798.0,31
USGS,05325000,80155,73411,,1968,8,8802.0,31
USGS,05325000,80155,73411,,1968,9,4179.0,30
USGS,05325000,80155,73411,,1968,10,21250.0,31
USGS,05325000,80155,73411,,1968,11,2564.0,30
USGS,05325000,80155,73411,,1968,12,967.6,31
USGS,05325000,80155,73411,,1969,1,136.9,31
USGS,05325000,80155,73411,,1969,2,107.5,28
USGS,05325000,80155,73411,,1969,3,10990.0,31
USGS,05325000,80155,73411,,1969,4,65240.0,30
USGS,05325000,80155,73411,,1969,5,4626.0,31
USGS,05325000,80155,73411,,1969,6,4622.0,30
USGS,05325000,80155,73411,,1969,7,7255.0,31
USGS,05325000,80155,73411,,1969,8,727.1,31
USGS,05325000,80155,73411,,1969,9,126.7,30
USGS,05325000,80155,73411,,1969,10,83.4,31
USGS,05325000,80155,73411,,1969,11,90.5,30
USGS,05325000,80155,73411,,1969,12,63.3,31
USGS,05325000,80155,73411,,1970,1,54.5,31
USGS,05325000,80155,73411,,1970,2,81.8,28
USGS,05325000,80155,73411,,1970,3,119.2,31
USGS,05325000,80155,73411,,1970,4,5031.0,30
USGS,05325000,80155,73411,,1970,5,4533.0,31
USGS,05325000,80155,73411,,1970,6,4302.0,30
USGS,05325000,80155,73411,,1970,7,1247.0,31
USGS,05325000,80155,73411,,1970,8,124.2,31
USGS,05325000,80155,73411,,1970,9,83.6,30
USGS,05325000,80155,73411,,1970,10,1419.0,31
USGS,05325000,80155,73411,,1970,11,4268.0,30
USGS,05325000,80155,73411,,1970,12,541.1,31
USGS,05325000,80155,73411,,1971,1,99.7,31
USGS,05325000,80155,73411,,1971,2,104.7,28
USGS,05325000,80155,73411,,1971,3,11600.0,31
USGS,05325000,80155,73411,,1971,4,7703.0,30
USGS,05325000,80155,73411,,1971,5,1567.0,31
USGS,05325000,80155,73411,,1971,6,9019.0,30
USGS,05325000,80155,73411,,1971,7,5237.0,31
USGS,05325000,80155,73411,,1971,8,287.9,31
USGS,05325000,80155,73411,,1971,9,71.9,30
USGS,05325000,80155,73411,,1971,10,214.8,31
USGS,05325000,80155,73411,,1971,11,968.1,30
USGS,05325000,80155,73411,,1971,12,386.1,31
USGS,05325000,80155,73411,,1972,1,304.8,31
USGS,05325000,80155,73411,,1972,2,156.8,29
USGS,05325000,80155,73411,,1972,3,5841.0,31
USGS,05325000,80155,73411,,1972,4,4366.0,30
USGS,05325000,80155,73411,,1972,5,4939.0,31
USGS,05325000,80155,73411,,1972,6,7623.0,30
USGS,05325000,80155,73411,,1972,7,4833.0,31
USGS,05325000,80155,73411,,1972,8,1897.0,31
USGS,05325000,80155,73411,,1972,9,555.6,30
USGS,05325000,80155,73411,,1972,10,259.7,31
USGS,05325000,80155,73411,,1972,11,1523.0,30
USGS,05325000,80155,73411,,1972,12,356.2,31
USGS,05325000,80155,73411,,1973,1,164.5,31
USGS,05325000,80155,73411,,1973,2,99.9,28
USGS,05325000,80155,73411,,1973,3,11000.0,31
USGS,05325000,80155,73411,,1973,4,4411.0,30
USGS,05325000,80155,73411,,1973,5,6681.0,31
USGS,05325000,80155,73411,,1973,6,2990.0,30
USGS,05325000,80155,73411,,1973,7,459.0,31
USGS,05325000,80155,73411,,1973,8,178.7,31
USGS,05325000,80155,73411,,1973,9,420.8,30
USGS,05325000,80155,73411,,1973,10,1276.0,31
USGS,05325000,80155,73411,,1973,11,2120.0,30
USGS,05325000,80155,73411,,1973,12,622.2,31
USGS,05325000,80155,73411,,1974,1,194.1,31
USGS,05325000,80155,73411,,1974,2,158.8,28
USGS,05325000,80155,73411,,1974,3,1913.0,31
USGS,05325000,80155,73411,,1974,4,5197.0,30
USGS,05325000,80155,73411,,1974,5,2687.0,31
USGS,05325000,80155,73411,,1974,6,8209.0,30
USGS,05325000,80155,73411,,1974,7,480.0,31
USGS,05325000,80155,73411,,1974,8,231.2,31
USGS,05325000,80155,73411,,1974,9,63.9,30
USGS,05325000,80155,73411,,1974,10,44.2,31
USGS,05325000,80155,73411,,1974,11,26.9,30
USGS,05325000,80155,73411,,1974,12,39.6,31
USGS,05325000,80155,73411,,1975,1,30.8,31
USGS,05325000,80155,73411,,1975,2,33.2,28
USGS,05325000,80155,73411,,1975,3,426.9,31
USGS,05325000,80155,73411,,1975,4,13810.0,30
USGS,05325000,80155,73411,,1975,5,5931.0,31
USGS,05325000,80155,73411,,1975,6,8650.0,30
USGS,05325000,80155,73411,,1975,7,2709.0,31
USGS,05325000,80155,73411,,1975,8,191.2,31
USGS,05325000,80155,73411,,1975,9,58.7,30
USGS,05325000,80155,73411,,1975,10,43.7,31
USGS,05325000,80155,73411,,1975,11,63.6,30
USGS,05325000,80155,73411,,1975,12,63.5,31
USGS,05325000,80155,73411,,1976,1,55.8,31
USGS,05325000,80155,73411,,1976,2,39.2,29
USGS,05325000,80155,73411,,1976,3,2675.0,31
USGS,05325000,80155,73411,,1976,4,2473.0,30
USGS,05325000,80155,73411,,1976,5,219.2,31
USGS,05325000,80155,73411,,1976,6,147.1,30
USGS,05325000,80155,73411,,1976,7,34.6,31
USGS,05325000,80155,73411,,1976,8,28.5,31
USGS,05325000,80155,73411,,1976,9,17.0,30
USGS,05325000,80155,73411,,1976,10,10.8,31
USGS,05325000,80155,73411,,1976,11,14.0,30
USGS,05325000,80155,73411,,1976,12,11.6,31
USGS,05325000,80155,73411,,1977,1,10.9,31
USGS,05325000,80155,73411,,1977,2,16.7,28
USGS,05325000,80155,73411,,1977,3,3525.0,31
USGS,05325000,80155,73411,,1977,4,448.5,30
USGS,05325000,80155,73411,,1977,5,369.4,31
USGS,05325000,80155,73411,,1977,6,3116.0,30
USGS,05325000,80155,73411,,1977,7,161.0,31
USGS,05325000,80155,73411,,1977,8,96.2,31
USGS,05325000,80155,73411,,1977,9,62.3,30
USGS,05325000,80155,73411,,1977,10,255.4,31
USGS,05325000,80155,73411,,1977,11,334.2,30
USGS,05325000,80155,73411,,1977,12,168.4,31
USGS,05325000,80155,73411,,1978,1,190.6,31
USGS,05325000,80155,73411,,1978,2,83.8,28
USGS,05325000,80155,73411,,1978,3,4866.0,31
USGS,05325000,80155,73411,,1978,4,4891.0,30
USGS,05325000,80155,73411,,1978,5,1863.0,31
USGS,05325000,80155,73411,,1978,6,4351.0,30
USGS,05325000,80155,73411,,1978,7,3064.0,31
USGS,05325000,80155,73411,,1978,8,712.7,31
USGS,05325000,80155,73411,,1978,9,244.0,30
USGS,05325000,80155,73411,,1978,10,133.2,31
USGS,05325000,80155,73411,,1978,11,41.1,30
USGS,05325000,80155,73411,,1978,12,28.9,31
USGS,05325000,80155,73411,,1979,1,12.8,31
USGS,05325000,80155,73411,,1979,2,26.7,28
USGS,05325000,80155,73411,,1979,3,4768.0,31
USGS,05325000,80155,73411,,1979,4,14050.0,30
USGS,05325000,80155,73411,,1979,5,4307.0,31
USGS,05325000,80155,73411,,1979,6,3650.0,30
USGS,05325000,80155,73411,,1979,7,4809.0,31
USGS,05325000,80155,73411,,1979,8,10100.0,31
USGS,05325000,80155,73411,,1979,9,4241.0,30
USGS,05325000,80155,73411,,1979,10,713.3,31
USGS,05325000,80155,73411,,1979,11,2955.0,30
USGS,05325000,80155,73411,,1979,12,804.0,31
USGS,05325000,80155,73411,,1980,1,216.1,31
USGS,05325000,80155,73411,,1980,2,138.1,29
USGS,05325000,80155,73411,,1980,3,2634.0,31
USGS,05325000,80155,73411,,1980,4,4111.0,30
USGS,05325000,80155,73411,,1980,5,1880.0,31
USGS,05325000,80155,73411,,1980,6,11500.0,30
USGS,05325000,80155,73411,,1980,7,1025.0,31
USGS,05325000,80155,73411,,1980,8,632.6,31
USGS,05325000,80155,73411,,1980,9,538.5,30
USGS,05325000,80155,73411,,1980,10,189.4,31
USGS,05325000,80155,73411,,1980,11,141.6,30
USGS,05325000,80155,73411,,1980,12,87.7,31
USGS,05325000,80155,73411,,1981,1,59.3,31
USGS,05325000,80155,73411,,1981,2,65.6,28
USGS,05325000,80155,73411,,1981,3,132.2,31
USGS,05325000,80155,73411,,1981,4,610.5,30
USGS,05325000,80155,73411,,1981,5,2387.0,31
USGS,05325000,80155,73411,,1981,6,10070.0,30
USGS,05325000,80155,73411,,1981,7,6757.0,31
USGS,05325000,80155,73411,,1981,8,4036.0,31
USGS,05325000,80155,73411,,1981,9,1477.0,30
USGS,05325000,80155,73411,,1981,10,758.4,31
USGS,05325000,80155,73411,,1981,11,525.4,30
USGS,05325000,80155,73411,,1981,12,254.5,31
USGS,05325000,80155,73411,,1982,1,119.5,31
USGS,05325000,80155,73411,,1982,2,80.1,28
USGS,05325000,80155,73411,,1982,3,8502.0,31
USGS,05325000,80155,73411,,1982,4,10240.0,30
USGS,05325000,80155,73411,,1982,5,8102.0,31
USGS,05325000,80155,73411,,1982,6,5935.0,30
USGS,05325000,80155,73411,,1982,7,4919.0,31
USGS,05325000,80155,73411,,1982,8,705.2,31
USGS,05325000,80155,73411,,1982,9,758.1,30
USGS,05325000,80155,73411,,1982,10,4069.0,31
USGS,05325000,80155,73411,,1982,11,5186.0,30
USGS,05325000,80155,73411,,1982,12,1977.0,31
USGS,05325000,80155,73411,,1983,1,359.2,31
USGS,05325000,80155,73411,,1983,2,2773.0,28
USGS,05325000,80155,73411,,1983,3,14790.0,31
USGS,05325000,80155,73411,,1983,4,13990.0,30
USGS,05325000,80155,73411,,1983,5,10790.0,31
USGS,05325000,80155,73411,,1983,6,6253.0,30
USGS,05325000,80155,73411,,1983,7,9557.0,31
USGS,05325000,80155,73411,,1983,8,420.1,31
USGS,05325000,80155,73411,,1983,9,379.4,30
USGS,05325000,80155,73411,,1983,10,237.6,31
USGS,05325000,80155,73411,,1983,11,602.1,30
USGS,05325000,80155,73411,,1983,12,265.0,31
USGS,05325000,80155,73411,,1984,1,125.0,31
USGS,05325000,80155,73411,,1984,2,2615.0,29
USGS,05325000,80155,73411,,1984,3,7909.0,31
USGS,05325000,80155,73411,,1984,4,25080.0,30
USGS,05325000,80155,73411,,1984,5,11780.0,31
USGS,05325000,80155,73411,,1984,6,14930.0,30
USGS,05325000,80155,73411,,1984,7,8070.0,31
USGS,05325000,80155,73411,,1984,8,1377.0,31
USGS,05325000,80155,73411,,1984,9,266.2,30
USGS,05325000,80155,73411,,1984,10,2361.0,31
USGS,05325000,80155,73411,,1984,11,2405.0,30
USGS,05325000,80155,73411,,1984,12,448.7,31
USGS,05325000,80155,73411,,1985,1,244.9,31
USGS,05325000,80155,73411,,1985,2,236.0,28
USGS,05325000,80155,73411,,1985,3,8994.0,31
USGS,05325000,80155,73411,,1985,4,8062.0,30
USGS,05325000,80155,73411,,1985,5,7093.0,31
USGS,05325000,80155,73411,,1985,6,4484.0,30
USGS,05325000,80155,73411,,1985,7,1672.0,31
