datetimeUTC,USGS:05320270:00060:00003,USGS:05320270:00060:00003_qualifiers
1996-04-01 00:00:00+00:00,200.0,"A,e"
1996-04-02 00:00:00+00:00,210.0,"A,e"
1996-04-03 00:00:00+00:00,205.0,"A,e"
1996-04-04 00:00:00+00:00,195.0,"A,e"
1996-04-05 00:00:00+00:00,185.0,"A,e"
1996-04-06 00:00:00+00:00,170.0,"A,e"
1996-04-07 00:00:00+00:00,160.0,"A,e"
1996-04-08 00:00:00+00:00,148.0,"A,e"
1996-04-09 00:00:00+00:00,125.0,"A,e"
1996-04-10 00:00:00+00:00,115.0,"A,e"
1996-04-11 00:00:00+00:00,107.0,A
1996-04-12 00:00:00+00:00,102.0,A
1996-04-13 00:00:00+00:00,98.0,A
1996-04-14 00:00:00+00:00,93.0,A
1996-04-15 00:00:00+00:00,91.0,A
1996-04-16 00:00:00+00:00,93.0,A
1996-04-17 00:00:00+00:00,93.0,A
1996-04-18 00:00:00+00:00,93.0,A
1996-04-19 00:00:00+00:00,95.0,A
1996-04-20 00:00:00+00:00,100.0,A
1996-04-21 00:00:00+00:00,102.0,A
1996-04-22 00:00:00+00:00,102.0,A
1996-04-23 00:00:00+00:00,99.0,A
1996-04-24 00:00:00+00:00,95.0,A
1996-04-25 00:00:00+00:00,92.0,A
1996-04-26 00:00:00+00:00,91.0,A
1996-04-27 00:00:00+00:00,84.0,A
1996-04-28 00:00:00+00:00,78.0,A
1996-04-29 00:00:00+00:00,73.0,A
1996-04-30 00:00:00+00:00,70.0,A
1996-05-01 00:00:00+00:00,68.0,A
1996-05-02 00:00:00+00:00,64.0,A
1996-05-03 00:00:00+00:00,62.0,A
1996-05-04 00:00:00+00:00,60.0,A
1996-05-05 00:00:00+00:00,63.0,A
1996-05-06 00:00:00+00:00,71.0,A
1996-05-07 00:00:00+00:00,71.0,A
1996-05-08 00:00:00+00:00,72.0,A
1996-05-09 00:00:00+00:00,73.0,A
1996-05-10 00:00:00+00:00,76.0,A
1996-05-11 00:00:00+00:00,80.0,A
1996-05-12 00:00:00+00:00,79.0,A
1996-05-13 00:00:00+00:00,76.0,A
1996-05-14 00:00:00+00:00,74.0,A
1996-05-15 00:00:00+00:00,76.0,A
1996-05-16 00:00:00+00:00,81.0,A
1996-05-17 00:00:00+00:00,82.0,A
1996-05-18 00:00:00+00:00,81.0,A
1996-05-19 00:00:00+00:00,92.0,A
1996-05-20 00:00:00+00:00,101.0,A
1996-05-21 00:00:00+00:00,100.0,A
1996-05-22 00:00:00+00:00,96.0,A
1996-05-23 00:00:00+00:00,91.0,A
1996-05-24 00:00:00+00:00,86.0,A
1996-05-25 00:00:00+00:00,82.0,A
1996-05-26 00:00:00+00:00,77.0,A
1996-05-27 00:00:00+00:00,74.0,A
1996-05-28 00:00:00+00:00,77.0,A
1996-05-29 00:00:00+00:00,75.0,A
1996-05-30 00:00:00+00:00,70.0,A
1996-05-31 00:00:00+00:00,65.0,A
1996-06-01 00:00:00+00:00,62.0,A
1996-06-02 00:00:00+00:00,60.0,A
1996-06-03 00:00:00+00:00,58.0,A
1996-06-04 00:00:00+00:00,54.0,A
1996-06-05 00:00:00+00:00,52.0,A
1996-06-06 00:00:00+00:00,64.0,A
1996-06-07 00:00:00+00:00,87.0,A
1996-06-08 00:00:00+00:00,94.0,A
1996-06-09 00:00:00+00:00,94.0,A
1996-06-10 00:00:00+00:00,90.0,A
1996-06-11 00:00:00+00:00,85.0,A
1996-06-12 00:00:00+00:00,80.0,A
1996-06-13 00:00:00+00:00,72.0,A
1996-06-14 00:00:00+00:00,64.0,A
1996-06-15 00:00:00+00:00,59.0,A
1996-06-16 00:00:00+00:00,68.0,A
1996-06-17 00:00:00+00:00,323.0,A
