agency_cd,site_no,parameter_cd,ts_id,loc_web_ds,month_nu,day_nu,begin_yr,end_yr,count_nu,max_va_yr,max_va,min_va_yr,min_va,mean_va,p05_va,p10_va,p20_va,p25_va,p50_va,p75_va,p80_va,p90_va,p95_va
USGS,05325000,80155,73411,,1,1,1968,2017,50,2017,2920,1991,8.5,430,9.6,15,51,70,208,629,713,1120,1820.0
USGS,05325000,80155,73411,,1,2,1968,2017,50,2017,2890,1991,8.2,417,10.0,15,49,69,206,608,700,1050,1790.0
USGS,05325000,80155,73411,,1,3,1968,2017,50,2017,2820,1991,8.1,405,10.0,16,49,66,223,569,691,945,1760.0
USGS,05325000,80155,73411,,1,4,1968,2017,50,2017,2680,1991,8.0,392,11.0,16,47,62,211,538,682,901,1710.0
USGS,05325000,80155,73411,,1,5,1968,2017,50,2017,2490,1991,7.8,377,11.0,16,48,61,199,556,658,830,1680.0
USGS,05325000,80155,73411,,1,6,1968,2017,50,2017,2360,1991,7.7,365,11.0,16,50,57,191,529,637,798,1650.0
USGS,05325000,80155,73411,,1,7,1968,2017,50,2017,2240,1991,7.6,356,11.0,16,50,55,177,526,616,751,1640.0
USGS,05325000,80155,73411,,1,8,1968,2017,50,2006,2200,1991,7.6,347,11.0,16,51,52,168,517,597,735,1600.0
USGS,05325000,80155,73411,,1,9,1968,2017,50,2006,2160,1991,7.6,337,10.0,16,49,49,161,490,580,696,1540.0
USGS,05325000,80155,73411,,1,10,1968,2017,50,2006,2080,1991,7.6,330,9.8,17,44,49,167,479,559,671,1510.0
USGS,05325000,80155,73411,,1,11,1968,2017,50,2006,2100,1991,7.4,329,9.3,17,44,49,163,521,546,663,1470.0
USGS,05325000,80155,73411,,1,12,1968,2017,50,2006,2150,1991,7.4,334,8.9,15,43,50,180,500,585,794,1450.0
USGS,05325000,80155,73411,,1,13,1968,2017,50,2006,2050,1979,7.2,328,8.8,14,44,51,211,488,575,793,1410.0
USGS,05325000,80155,73411,,1,14,1968,2017,50,2006,1940,1991,7.4,313,8.9,14,43,52,181,479,525,681,1360.0
USGS,05325000,80155,73411,,1,15,1968,2017,50,2006,1900,1991,6.8,302,9.6,15,42,53,173,451,503,616,1320.0
USGS,05325000,80155,73411,,1,16,1968,2017,50,2006,1920,1991,6.8,297,11.0,15,42,52,202,399,482,611,1290.0
USGS,05325000,80155,73411,,1,17,1968,2017,50,2006,1880,1991,6.8,287,12.0,17,41,53,174,378,445,605,1260.0
USGS,05325000,80155,73411,,1,18,1968,2017,50,2006,1870,1991,6.8,279,12.0,18,39,57,167,367,434,590,1220.0
USGS,05325000,80155,73411,,1,19,1968,2017,50,2006,1840,1991,6.8,273,13.0,20,39,59,162,346,423,585,1160.0
USGS,05325000,80155,73411,,1,20,1968,2017,50,2006,1830,1977,12.0,269,15.0,22,41,60,157,346,410,581,1150.0
USGS,05325000,80155,73411,,1,21,1968,2017,50,2006,1790,1977,13.0,266,17.0,24,42,60,150,333,402,590,1170.0
USGS,05325000,80155,73411,,1,22,1968,2017,50,2006,1730,1977,12.0,266,18.0,27,41,60,155,321,397,617,1230.0
USGS,05325000,80155,73411,,1,23,1968,2017,50,2017,1710,1977,12.0,266,17.0,29,41,58,159,308,385,626,1300.0
USGS,05325000,80155,73411,,1,24,1968,2017,50,2017,1920,1977,12.0,266,16.0,28,41,49,152,299,370,644,1310.0
USGS,05325000,80155,73411,,1,25,1968,2017,50,2017,2100,1977,12.0,265,16.0,27,39,44,150,300,357,641,1260.0
USGS,05325000,80155,73411,,1,26,1968,2017,50,2017,2180,1977,12.0,264,15.0,27,39,43,146,302,345,627,1280.0
USGS,05325000,80155,73411,,1,27,1968,2017,50,2017,2170,1977,12.0,261,15.0,28,38,45,144,298,336,585,1320.0
USGS,05325000,80155,73411,,1,28,1968,2017,50,2017,2110,1977,12.0,259,14.0,28,38,47,143,295,329,556,1360.0
USGS,05325000,80155,73411,,1,29,1968,2017,50,2006,2330,1977,12.0,269,15.0,28,38,48,140,278,335,551,1510.0
USGS,05325000,80155,73411,,1,30,1968,2017,50,2006,4250,1977,12.0,303,16.0,29,40,48,137,265,336,549,1470.0
USGS,05325000,80155,73411,,1,31,1968,2017,50,2006,8390,1977,12.0,383,18.0,29,43,49,140,260,335,547,1440.0
USGS,05325000,80155,73411,,2,1,1968,2017,50,2006,9560,1977,12.0,404,19.0,30,43,49,138,254,334,545,1430.0
USGS,05325000,80155,73411,,2,2,1968,2017,50,2006,9570,1977,12.0,404,19.0,30,40,49,135,254,332,542,1420.0
USGS,05325000,80155,73411,,2,3,1968,2017,50,2006,9030,1977,12.0,394,20.0,31,40,48,127,266,325,547,1430.0
USGS,05325000,80155,73411,,2,4,1968,2017,50,2006,7890,1977,12.0,373,20.0,30,40,47,125,285,322,562,1430.0
USGS,05325000,80155,73411,,2,5,1968,2017,50,2006,6320,1977,12.0,341,20.0,29,41,49,118,289,331,551,1410.0
USGS,05325000,80155,73411,,2,6,1968,2017,50,2006,5200,1977,13.0,317,20.0,31,42,56,117,289,359,549,1380.0
USGS,05325000,80155,73411,,2,7,1968,2017,50,2006,4780,1977,13.0,305,20.0,29,43,57,112,286,334,545,1350.0
USGS,05325000,80155,73411,,2,8,1968,2017,50,2006,4370,1977,13.0,294,21.0,30,43,56,109,285,334,562,1300.0
USGS,05325000,80155,73411,,2,9,1968,2017,50,2006,3860,1977,14.0,281,20.0,31,43,61,105,284,328,566,1270.0
USGS,05325000,80155,73411,,2,10,1968,2017,50,2006,3280,1977,9.9,268,20.0,33,43,59,103,268,320,580,1230.0
USGS,05325000,80155,73411,,2,11,1968,2017,50,2006,3120,1977,14.0,265,21.0,32,52,68,104,253,315,583,1210.0
USGS,05325000,80155,73411,,2,12,1968,2017,50,2006,3070,1977,14.0,265,22.0,31,51,65,108,256,312,627,1170.0
USGS,05325000,80155,73411,,2,13,1968,2017,50,2006,2910,1977,13.0,267,21.0,33,50,66,111,257,307,643,1140.0
USGS,05325000,80155,73411,,2,14,1968,2017,50,2006,2450,1977,14.0,273,21.0,29,50,66,111,266,305,813,1300.0
USGS,05325000,80155,73411,,2,15,1968,2017,50,2006,2450,1977,13.0,288,21.0,26,51,66,112,245,309,807,1600.0
USGS,05325000,80155,73411,,2,16,1968,2017,50,2005,2450,1977,13.0,307,21.0,23,52,62,113,241,305,798,1970.0
USGS,05325000,80155,73411,,2,17,1968,2017,50,2005,3540,1977,12.0,332,19.0,23,52,61,112,259,348,790,1900.0
USGS,05325000,80155,73411,,2,18,1968,2017,50,2005,3840,1977,11.0,357,16.0,27,48,63,118,285,477,779,1940.0
USGS,05325000,80155,73411,,2,19,1968,2017,50,2005,3680,1977,14.0,400,16.0,31,51,70,128,370,598,1160,2300.0
USGS,05325000,80155,73411,,2,20,1968,2017,50,2017,7280,1977,14.0,583,17.0,28,54,69,130,493,620,1920,3340.0
USGS,05325000,80155,73411,,2,21,1968,2017,50,2017,15200,1977,16.0,878,18.0,28,58,66,132,551,648,2140,5590.0
USGS,05325000,80155,73411,,2,22,1968,2017,50,2017,15700,1977,18.0,981,19.0,28,58,66,140,567,708,2310,7240.0
USGS,05325000,80155,73411,,2,23,1968,2017,50,2017,15300,1989,18.0,1040,23.0,28,58,65,130,591,710,2020,8100.0
USGS,05325000,80155,73411,,2,24,1968,2017,50,2017,13900,1989,17.0,1110,25.0,31,57,59,139,695,872,1990,9260.0
USGS,05325000,80155,73411,,2,25,1968,2017,50,2017,11600,1989,17.0,1190,25.0,31,53,58,157,681,953,4740,9800.0
USGS,05325000,80155,73411,,2,26,1968,2017,50,1984,10900,1989,17.0,1370,24.0,28,45,57,157,730,959,7860,10100.0
USGS,05325000,80155,73411,,2,27,1968,2017,50,1983,16300,1989,17.0,1560,23.0,25,49,60,159,905,1220,7890,11200.0
USGS,05325000,80155,73411,,2,28,1968,2017,50,1983,24400,1990,16.0,2080,19.0,25,49,60,174,948,1280,7820,16300.0
USGS,05325000,80155,73411,,2,29,1968,2016,13,1992,31900,1968,26.0,4200,,26,55,62,136,4950,8200,23600,
USGS,05325000,80155,73411,,3,1,1968,2017,50,1992,32900,1990,13.0,2190,18.0,25,48,64,183,967,1310,7050,17100.0
USGS,05325000,80155,73411,,3,2,1968,2017,50,1992,45400,1990,13.0,2680,16.0,26,50,66,224,965,1450,6470,23500.0
USGS,05325000,80155,73411,,3,3,1968,2017,50,1992,58700,1975,15.0,2930,20.0,28,51,65,195,928,1600,5990,23900.0
USGS,05325000,80155,73411,,3,4,1968,2017,50,1992,40500,1975,14.0,2500,20.0,27,59,64,259,901,1580,5630,22700.0
USGS,05325000,80155,73411,,3,5,1968,2017,50,1992,33200,1975,15.0,2210,19.0,25,61,69,245,1210,1650,5430,18800.0
USGS,05325000,80155,73411,,3,6,1968,2017,50,1992,31500,1989,16.0,2290,20.0,26,58,80,258,1540,1650,5290,18500.0
USGS,05325000,80155,73411,,3,7,1968,2017,50,1983,32300,1989,16.0,2400,22.0,28,62,79,288,1520,1960,5510,18900.0
USGS,05325000,80155,73411,,3,8,1968,2017,50,1992,25000,1989,16.0,2350,24.0,29,63,84,341,1440,2600,5990,19100.0
USGS,05325000,80155,73411,,3,9,1968,2017,50,1983,23200,1989,16.0,2310,21.0,32,90,95,452,1600,2720,4740,17700.0
USGS,05325000,80155,73411,,3,10,1968,2017,50,1992,20900,1989,18.0,2400,26.0,33,86,121,479,1740,3110,8590,17100.0
USGS,05325000,80155,73411,,3,11,1968,2017,50,1992,20500,1975,25.0,2740,29.0,48,92,132,505,2320,3890,12900,17300.0
USGS,05325000,80155,73411,,3,12,1968,2017,50,1997,23100,1975,24.0,3040,29.0,74,98,143,521,3220,5460,12700,17500.0
USGS,05325000,80155,73411,,3,13,1968,2017,50,1973,31300,1975,28.0,3910,31.0,73,153,170,629,4630,5780,14100,21500.0
USGS,05325000,80155,73411,,3,14,1968,2017,50,1973,46800,1979,26.0,4930,36.0,81,218,261,859,4370,6910,16900,28500.0
USGS,05325000,80155,73411,,3,15,1968,2017,50,2010,76600,1979,26.0,6350,39.0,95,214,281,1120,4770,7920,20100,38400.0
USGS,05325000,80155,73411,,3,16,1968,2017,50,2010,98500,1979,27.0,7230,43.0,110,252,300,1500,5490,10600,22600,37000.0
USGS,05325000,80155,73411,,3,17,1968,2017,50,2010,126000,1979,28.0,8350,47.0,117,246,408,1440,9500,10600,22800,37300.0
USGS,05325000,80155,73411,,3,18,1968,2017,50,2010,122000,1975,38.0,9280,63.0,114,304,518,1960,11300,15000,26000,45900.0
USGS,05325000,80155,73411,,3,19,1968,2017,50,2010,93100,1975,34.0,8850,88.0,100,391,536,2000,9970,12600,23900,41300.0
USGS,05325000,80155,73411,,3,20,1968,2017,50,2010,73600,1975,37.0,8790,89.0,139,498,589,2470,10100,15300,25300,46500.0
USGS,05325000,80155,73411,,3,21,1968,2017,50,2010,71100,1975,78.0,9090,99.0,137,537,598,3820,9120,13900,28200,49200.0
USGS,05325000,80155,73411,,3,22,1968,2017,50,2011,75600,1968,68.0,9750,118.0,181,480,666,4600,9590,13300,27800,53200.0
USGS,05325000,80155,73411,,3,23,1968,2017,50,2011,70200,1968,32.0,9380,116.0,164,469,662,4100,11900,13800,23800,48000.0
USGS,05325000,80155,73411,,3,24,1968,2017,50,2011,61200,1968,74.0,9060,136.0,204,547,742,4440,11100,14300,27000,45600.0
USGS,05325000,80155,73411,,3,25,1968,2017,50,1997,53300,1981,122.0,8730,145.0,210,713,1170,4900,9890,13300,22700,48600.0
USGS,05325000,80155,73411,,3,26,1968,2017,50,1997,46100,2001,145.0,8720,172.0,363,671,997,5430,11400,14500,22400,41500.0
