agency_cd,site_no,parameter_cd,ts_id,loc_web_ds,year_nu,month_nu,mean_va,count_nu
USGS,05320000,00060,73386,,1909,8,292.0,31
USGS,05320000,00060,73386,,1909,9,162.8,30
USGS,05320000,00060,73386,,1909,10,138.5,31
USGS,05320000,00060,73386,,1910,4,462.1,30
USGS,05320000,00060,73386,,1910,5,167.8,31
USGS,05320000,00060,73386,,1910,6,131.1,30
USGS,05320000,00060,73386,,1910,7,56.8,31
USGS,05320000,00060,73386,,1910,8,38.8,31
USGS,05320000,00060,73386,,1910,9,44.4,30
USGS,05320000,00060,73386,,1910,10,67.3,31
USGS,05320000,00060,73386,,1939,10,22.5,31
USGS,05320000,00060,73386,,1939,11,26.7,30
USGS,05320000,00060,73386,,1939,12,32.6,31
USGS,05320000,00060,73386,,1940,1,16.1,31
USGS,05320000,00060,73386,,1940,2,19.6,29
USGS,05320000,00060,73386,,1940,3,111.1,31
USGS,05320000,00060,73386,,1940,4,227.1,30
USGS,05320000,00060,73386,,1940,5,53.4,31
USGS,05320000,00060,73386,,1940,6,238.5,30
USGS,05320000,00060,73386,,1940,7,30.9,31
USGS,05320000,00060,73386,,1940,8,176.4,31
USGS,05320000,00060,73386,,1940,9,310.1,30
USGS,05320000,00060,73386,,1940,10,85.3,31
USGS,05320000,00060,73386,,1940,11,381.6,30
USGS,05320000,00060,73386,,1940,12,387.2,31
USGS,05320000,00060,73386,,1941,1,398.0,31
USGS,05320000,00060,73386,,1941,2,250.9,28
USGS,05320000,00060,73386,,1941,3,1789.0,31
USGS,05320000,00060,73386,,1941,4,2474.0,30
USGS,05320000,00060,73386,,1941,5,606.3,31
USGS,05320000,00060,73386,,1941,6,1698.0,30
USGS,05320000,00060,73386,,1941,7,792.0,31
USGS,05320000,00060,73386,,1941,8,140.6,31
USGS,05320000,00060,73386,,1941,9,436.5,30
USGS,05320000,00060,73386,,1941,10,793.1,31
USGS,05320000,00060,73386,,1941,11,1460.0,30
USGS,05320000,00060,73386,,1941,12,625.4,31
USGS,05320000,00060,73386,,1942,1,426.2,31
USGS,05320000,00060,73386,,1942,2,408.1,28
USGS,05320000,00060,73386,,1942,3,890.9,31
USGS,05320000,00060,73386,,1942,4,1121.0,30
USGS,05320000,00060,73386,,1942,5,1082.0,31
USGS,05320000,00060,73386,,1942,6,1190.0,30
USGS,05320000,00060,73386,,1942,7,607.5,31
USGS,05320000,00060,73386,,1942,8,911.2,31
USGS,05320000,00060,73386,,1942,9,1156.0,30
USGS,05320000,00060,73386,,1942,10,681.9,31
USGS,05320000,00060,73386,,1942,11,257.8,30
USGS,05320000,00060,73386,,1942,12,127.5,31
USGS,05320000,00060,73386,,1943,1,93.5,31
USGS,05320000,00060,73386,,1943,2,159.0,28
USGS,05320000,00060,73386,,1943,3,1793.0,31
USGS,05320000,00060,73386,,1943,4,1327.0,30
USGS,05320000,00060,73386,,1943,5,913.5,31
USGS,05320000,00060,73386,,1943,6,3331.0,30
USGS,05320000,00060,73386,,1943,7,2245.0,31
USGS,05320000,00060,73386,,1943,8,2382.0,31
USGS,05320000,00060,73386,,1943,9,1807.0,30
USGS,05320000,00060,73386,,1943,10,415.6,31
USGS,05320000,00060,73386,,1943,11,658.4,30
USGS,05320000,00060,73386,,1943,12,627.5,31
USGS,05320000,00060,73386,,1944,1,247.2,31
USGS,05320000,00060,73386,,1944,2,562.2,29
USGS,05320000,00060,73386,,1944,3,1036.0,31
USGS,05320000,00060,73386,,1944,4,1730.0,30
USGS,05320000,00060,73386,,1944,5,4978.0,31
USGS,05320000,00060,73386,,1944,6,3857.0,30
USGS,05320000,00060,73386,,1944,7,1100.0,31
USGS,05320000,00060,73386,,1944,8,436.5,31
USGS,05320000,00060,73386,,1944,9,498.9,30
USGS,05320000,00060,73386,,1944,10,210.5,31
USGS,05320000,00060,73386,,1944,11,137.4,30
USGS,05320000,00060,73386,,1944,12,97.8,31
USGS,05320000,00060,73386,,1945,1,43.3,31
USGS,05320000,00060,73386,,1945,2,118.1,28
USGS,05320000,00060,73386,,1945,3,2378.0,31
USGS,05320000,00060,73386,,1945,4,1828.0,30
USGS,05320000,00060,73386,,1945,5,2134.0,31
USGS,05320000,00060,73386,,1945,6,4513.0,30
USGS,05320000,00060,73386,,1945,7,961.0,31
USGS,05320000,00060,73386,,1945,8,1134.0,31
USGS,05320000,00060,73386,,1945,9,261.7,29
USGS,05320000,00060,73386,,1949,8,109.9,31
USGS,05320000,00060,73386,,1949,9,40.1,30
USGS,05320000,00060,73386,,1949,10,35.8,31
USGS,05320000,00060,73386,,1949,11,41.9,30
USGS,05320000,00060,73386,,1949,12,35.9,31
USGS,05320000,00060,73386,,1950,1,18.7,31
USGS,05320000,00060,73386,,1950,2,31.4,28
USGS,05320000,00060,73386,,1950,3,697.2,31
USGS,05320000,00060,73386,,1950,4,762.9,30
USGS,05320000,00060,73386,,1950,5,446.8,31
USGS,05320000,00060,73386,,1950,6,160.1,30
USGS,05320000,00060,73386,,1950,7,177.2,31
USGS,05320000,00060,73386,,1950,8,79.6,31
USGS,05320000,00060,73386,,1950,9,46.3,30
USGS,05320000,00060,73386,,1950,10,37.6,31
USGS,05320000,00060,73386,,1950,11,44.4,30
USGS,05320000,00060,73386,,1950,12,32.2,31
USGS,05320000,00060,73386,,1951,1,30.6,31
USGS,05320000,00060,73386,,1951,2,129.9,28
USGS,05320000,00060,73386,,1951,3,664.1,31
USGS,05320000,00060,73386,,1951,4,9022.0,30
USGS,05320000,00060,73386,,1951,5,2422.0,31
USGS,05320000,00060,73386,,1951,6,2021.0,30
USGS,05320000,00060,73386,,1951,7,2651.0,31
USGS,05320000,00060,73386,,1951,8,734.9,31
USGS,05320000,00060,73386,,1951,9,1301.0,30
USGS,05320000,00060,73386,,1951,10,684.9,31
USGS,05320000,00060,73386,,1951,11,391.5,30
USGS,05320000,00060,73386,,1951,12,352.7,31
USGS,05320000,00060,73386,,1952,1,171.0,31
USGS,05320000,00060,73386,,1952,2,755.2,29
USGS,05320000,00060,73386,,1952,3,1952.0,31
USGS,05320000,00060,73386,,1952,4,4895.0,30
USGS,05320000,00060,73386,,1952,5,828.7,31
USGS,05320000,00060,73386,,1952,6,839.1,30
USGS,05320000,00060,73386,,1952,7,1041.0,31
USGS,05320000,00060,73386,,1952,8,393.2,31
USGS,05320000,00060,73386,,1952,9,324.9,30
USGS,05320000,00060,73386,,1952,10,69.7,31
USGS,05320000,00060,73386,,1952,11,58.1,30
USGS,05320000,00060,73386,,1952,12,47.9,31
USGS,05320000,00060,73386,,1953,1,52.8,31
USGS,05320000,00060,73386,,1953,2,62.2,28
USGS,05320000,00060,73386,,1953,3,1415.0,31
USGS,05320000,00060,73386,,1953,4,1057.0,30
USGS,05320000,00060,73386,,1953,5,2611.0,31
USGS,05320000,00060,73386,,1953,6,4440.0,30
USGS,05320000,00060,73386,,1953,7,621.1,31
USGS,05320000,00060,73386,,1953,8,988.3,31
USGS,05320000,00060,73386,,1953,9,85.7,30
USGS,05320000,00060,73386,,1953,10,53.6,31
USGS,05320000,00060,73386,,1953,11,72.6,30
USGS,05320000,00060,73386,,1953,12,75.9,31
USGS,05320000,00060,73386,,1954,1,32.7,31
USGS,05320000,00060,73386,,1954,2,108.1,28
USGS,05320000,00060,73386,,1954,3,527.7,31
USGS,05320000,00060,73386,,1954,4,293.1,30
USGS,05320000,00060,73386,,1954,5,726.8,31
USGS,05320000,00060,73386,,1954,6,2122.0,30
USGS,05320000,00060,73386,,1954,7,940.9,31
USGS,05320000,00060,73386,,1954,8,305.4,31
USGS,05320000,00060,73386,,1954,9,293.3,30
USGS,05320000,00060,73386,,1954,10,423.2,31
USGS,05320000,00060,73386,,1954,11,298.3,30
USGS,05320000,00060,73386,,1954,12,175.1,31
USGS,05320000,00060,73386,,1955,1,125.7,31
USGS,05320000,00060,73386,,1955,2,47.4,28
USGS,05320000,00060,73386,,1955,3,796.4,31
USGS,05320000,00060,73386,,1955,4,778.5,30
USGS,05320000,00060,73386,,1955,5,376.2,31
USGS,05320000,00060,73386,,1955,6,505.7,30
