Activity_StartDate,Result_Measure,Result_MeasureUnit,Result_Characteristic,ResultAnalyticalMethod_Description,Result_CharacteristicGroup
1971-05-27,15,% passing,Bed sediment particle size,,Sediment
1971-05-27,15,% passing,Bed sediment particle size,,Sediment
1972-03-21,2,% passing,Bed sediment particle size,,Sediment
1972-05-12,1,% passing,Bed sediment particle size,,Sediment
1972-07-20,2,% passing,Bed sediment particle size,,Sediment
1973-03-27,2,% passing,Bed sediment particle size,,Sediment
1974-06-11,1,% passing,Bed sediment particle size,,Sediment
1974-10-31,0.0,% passing,Bed sediment particle size,,Sediment
1975-07-09,2,% passing,Bed sediment particle size,,Sediment
1976-06-09,1,% passing,Bed sediment particle size,,Sediment
1977-07-14,0.0,% passing,Bed sediment particle size,,Sediment
