Activity_StartDate,Result_Measure,Result_MeasureUnit,Result_Characteristic,ResultAnalyticalMethod_Description,Result_CharacteristicGroup
1995-08-02,13,g/kg,Organic carbon,"DESCRIPTION: LECO, Organic Carbon, BTM; CITATION(S): No citations are available for this method","Organics, Other"
2008-09-30,23,g/kg,Organic carbon,"DESCRIPTION: Organic Carbon, BTM; CITATION(S): Williams, R.S., 1998, Change in the analytical method Used for the determination of inorganic carbon in sediment: Denver, Colorado, U.S. Geological Survey National Water Quality Laboratory Technical Memorandum 1998.08, 5 p.","Organics, Other"
