parm_cd,group,parm_nm,parm_unit
34807,"Inorganics, Minor, Metals","Barium, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram",mg/kg
34808,"Inorganics, Minor, Metals","Barium, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34809,"Inorganics, Minor, Metals","Barium, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34810,"Inorganics, Minor, Metals","Beryllium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34811,"Inorganics, Minor, Metals","Beryllium, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34812,"Inorganics, Minor, Metals","Beryllium, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram",mg/kg
34813,"Inorganics, Minor, Metals","Beryllium, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34814,"Inorganics, Minor, Metals","Beryllium, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34815,"Inorganics, Minor, Metals","Bismuth, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34816,"Inorganics, Minor, Metals","Bismuth, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34817,"Inorganics, Minor, Metals","Bismuth, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram",mg/kg
34818,"Inorganics, Minor, Metals","Bismuth, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34819,"Inorganics, Minor, Metals","Bismuth, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34820,"Inorganics, Minor, Non-metals","Boron, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34821,"Inorganics, Minor, Non-metals","Boron, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34822,"Inorganics, Minor, Non-metals","Boron, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram",mg/kg
34824,"Inorganics, Minor, Non-metals","Boron, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34825,"Inorganics, Minor, Metals","Cadmium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34826,"Inorganics, Minor, Metals","Cadmium, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34827,"Inorganics, Minor, Metals","Cadmium, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram",mg/kg
34828,"Inorganics, Minor, Metals","Cadmium, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34829,"Inorganics, Minor, Metals","Cadmium, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34830,"Inorganics, Major, Metals","Calcium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, percent",%
34831,"Inorganics, Major, Metals","Calcium, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, percent",%
34832,"Inorganics, Major, Metals","Calcium, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, percent",%
34833,"Inorganics, Major, Metals","Calcium, suspended sediment smaller than 62.5 microns, total digestion, dry weight, percent",%
34834,"Inorganics, Major, Metals","Calcium, suspended sediment larger than 62.5 microns, total digestion, dry weight, percent",%
34835,"Inorganics, Minor, Metals","Cerium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34836,"Inorganics, Minor, Metals","Cerium, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34837,"Inorganics, Minor, Metals","Cerium, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram",mg/kg
34838,"Inorganics, Minor, Metals","Cerium, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34839,"Inorganics, Minor, Metals","Cerium, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34840,"Inorganics, Minor, Metals","Chromium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34841,"Inorganics, Minor, Metals","Chromium, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34842,"Inorganics, Minor, Metals","Chromium, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram",mg/kg
34843,"Inorganics, Minor, Metals","Chromium, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34844,"Inorganics, Minor, Metals","Chromium, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34845,"Inorganics, Minor, Metals","Cobalt, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34846,"Inorganics, Minor, Metals","Cobalt, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34847,"Inorganics, Minor, Metals","Cobalt, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram",mg/kg
34848,"Inorganics, Minor, Metals","Cobalt, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34849,"Inorganics, Minor, Metals","Cobalt, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34850,"Inorganics, Minor, Metals","Copper, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34851,"Inorganics, Minor, Metals","Copper, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34852,"Inorganics, Minor, Metals","Copper, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram",mg/kg
34853,"Inorganics, Minor, Metals","Copper, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34854,"Inorganics, Minor, Metals","Copper, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34855,"Inorganics, Minor, Metals","Europium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34856,"Inorganics, Minor, Metals","Europium, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34857,"Inorganics, Minor, Metals","Europium, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram",mg/kg
34858,"Inorganics, Minor, Metals","Europium, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34860,"Inorganics, Minor, Metals","Gallium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34861,"Inorganics, Minor, Metals","Gallium, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34862,"Inorganics, Minor, Metals","Gallium, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram",mg/kg
34863,"Inorganics, Minor, Metals","Gallium, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34864,"Inorganics, Minor, Metals","Gallium, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34865,"Inorganics, Minor, Non-metals","Germanium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34866,"Inorganics, Minor, Non-metals","Germanium, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34867,"Inorganics, Minor, Non-metals","Germanium, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram",mg/kg
34870,"Inorganics, Minor, Metals","Gold, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34871,"Inorganics, Minor, Metals","Gold, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34872,"Inorganics, Minor, Metals","Gold, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram",mg/kg
34873,"Inorganics, Minor, Metals","Gold, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34875,"Inorganics, Minor, Metals","Holmium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34876,"Inorganics, Minor, Metals","Holmium, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34877,"Inorganics, Minor, Metals","Holmium, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram",mg/kg
34878,"Inorganics, Minor, Metals","Holmium, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34880,"Inorganics, Minor, Metals","Iron, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, percent",%
34881,"Inorganics, Minor, Metals","Iron, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, percent",%
34882,"Inorganics, Minor, Metals","Iron, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, percent",%
34883,"Inorganics, Minor, Metals","Iron, suspended sediment smaller than 62.5 microns, total digestion, dry weight, percent",%
34884,"Inorganics, Minor, Metals","Iron, suspended sediment larger than 62.5 microns, total digestion, dry weight, percent",%
34885,"Inorganics, Minor, Metals","Lanthanum, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34886,"Inorganics, Minor, Metals","Lanthanum, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34887,"Inorganics, Minor, Metals","Lanthanum, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram",mg/kg
34888,"Inorganics, Minor, Metals","Lanthanum, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34889,"Inorganics, Minor, Metals","Lanthanum, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34890,"Inorganics, Minor, Metals","Lead, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34891,"Inorganics, Minor, Metals","Lead, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34892,"Inorganics, Minor, Metals","Lead, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram",mg/kg
34893,"Inorganics, Minor, Metals","Lead, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34894,"Inorganics, Minor, Metals","Lead, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34895,"Inorganics, Minor, Metals","Lithium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34896,"Inorganics, Minor, Metals","Lithium, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34897,"Inorganics, Minor, Metals","Lithium, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram",mg/kg
34898,"Inorganics, Minor, Metals","Lithium, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34899,"Inorganics, Minor, Metals","Lithium, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34900,"Inorganics, Major, Metals","Magnesium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, percent",%
34901,"Inorganics, Major, Metals","Magnesium, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, percent",%
34902,"Inorganics, Major, Metals","Magnesium, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, percent",%
34903,"Inorganics, Major, Metals","Magnesium, suspended sediment smaller than 62.5 microns, total digestion, dry weight, percent",%
34904,"Inorganics, Major, Metals","Magnesium, suspended sediment larger than 62.5 microns, total digestion, dry weight, percent",%
34905,"Inorganics, Minor, Metals","Manganese, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34906,"Inorganics, Minor, Metals","Manganese, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34907,"Inorganics, Minor, Metals","Manganese, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram",mg/kg
34908,"Inorganics, Minor, Metals","Manganese, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34909,"Inorganics, Minor, Metals","Manganese, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34910,"Inorganics, Minor, Metals","Mercury, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34911,"Inorganics, Minor, Metals","Mercury, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34912,"Inorganics, Minor, Metals","Mercury, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram",mg/kg
34913,"Inorganics, Minor, Metals","Mercury, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34915,"Inorganics, Minor, Metals","Molybdenum, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34916,"Inorganics, Minor, Metals","Molybdenum, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34917,"Inorganics, Minor, Metals","Molybdenum, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram",mg/kg
34918,"Inorganics, Minor, Metals","Molybdenum, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34919,"Inorganics, Minor, Metals","Molybdenum, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34920,"Inorganics, Minor, Metals","Neodymium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34921,"Inorganics, Minor, Metals","Neodymium, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34922,"Inorganics, Minor, Metals","Neodymium, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram",mg/kg
34923,"Inorganics, Minor, Metals","Neodymium, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34925,"Inorganics, Minor, Metals","Nickel, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34926,"Inorganics, Minor, Metals","Nickel, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
34927,"Inorganics, Minor, Metals","Nickel, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram",mg/kg
34928,"Inorganics, Minor, Metals","Nickel, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34929,"Inorganics, Minor, Metals","Nickel, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram",mg/kg
34930,"Inorganics, Minor, Metals","Niobium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram",mg/kg
