parm_cd,group,parm_nm,parm_unit
1,Information,"Location in cross section, distance from right bank looking upstream, feet",ft
2,Information,"Location in cross section, distance from right bank looking upstream, percent",%
3,Information,"Sampling depth, feet",ft
4,Physical,"Stream width, feet",ft
5,Information,"Location in cross section, fraction of total depth, percent",%
8,Information,Sample accounting number,nu
9,Information,"Location in cross section, distance from left bank looking downstream, feet",ft
10,Physical,"Temperature, water, degrees Celsius",deg C
11,Physical,"Temperature, water, degrees Fahrenheit",deg F
12,Physical,"Evaporation temperature, 48-inch pan, degrees Celsius",deg C
13,Physical,"Evaporation temperature, 24-inch pan, degrees Celsius",deg C
14,Physical,"Wet bulb temperature, degrees Celsius",deg C
20,Physical,"Temperature, air, degrees Celsius",deg C
21,Physical,"Temperature, air, degrees Fahrenheit",deg F
22,Information,"Duration of exposure, sample or test, days",days
23,Information,"Sample weight, pounds",lb
24,Information,"Sample length, inches",in
25,Physical,"Barometric pressure, millimeters of mercury",mm/Hg
28,Information,"Agency analyzing sample, code",code
29,Information,Project number,nu
30,Physical,"Incident solar radiation intensity, calories per square centimeter per day",cal/cm2/d
31,Physical,"Incident light remaining at depth, percent",%
32,Physical,"Cloud cover, percent",%
34,Physical,"Depth to 1 percent of surface light, feet",ft
35,Physical,"Wind speed, miles per hour",mph
36,Physical,"Wind direction, degrees clockwise from true north",Deg
41,Information,"Weather, World Meteorological Organization (WMO) code",WMO code
42,Information,"Altitude, feet above mean sea level",ft abv MSL
45,Physical,"Precipitation, total, inches",in
46,Physical,"Precipitation, total, inches per week",in/week
47,Physical,"Total partial pressure of dissolved gases, water, unfiltered, millimeters of mercury",mm/Hg
48,Physical,"Total partial pressure of dissolved gases, water, unfiltered, percent of saturation",%
49,Physical,"Surface area, square miles",mi2
50,Physical,"Evaporation rate, inches per day",inches/day
51,Physical,"Surface area, square feet",ft2
52,Physical,"Relative humidity, percent",%
53,Physical,"Surface area, acres",ac
54,Information,"Reservoir storage, acre-feet",ac-ft
55,Physical,"Stream velocity, feet per second",ft/sec
56,Physical,"Flow rate of well, gallons per day",gal/day
58,Physical,"Flow rate of well, gallons per minute",gal/min
59,Physical,"Flow rate, instantaneous, gallons per minute",gal/min
60,Physical,"Discharge, cubic feet per second",ft3/s
61,Physical,"Discharge, instantaneous, cubic feet per second",ft3/s
62,Physical,"Elevation of reservoir water surface above datum, feet",ft
63,Information,"Number of sampling points, count",count
64,Physical,"Mean depth of stream, feet",ft
65,Physical,"Gage height, feet",ft
67,Physical,"Tide stage, code",code
70,Physical,"Turbidity, water, unfiltered, Jackson Turbidity Units",JTU
72,Physical,"Stream stage, meters",m
74,Physical,"Light transmission, 1 meter path length, water, unfiltered, percent",%
75,Physical,"Turbidity, water, unfiltered, Hellige turbidimeter, milligrams per liter as silicon dioxide",mg/l SiO2
76,Physical,"Turbidity, water, unfiltered, nephelometric turbidity units",NTU
77,Physical,"Transparency, water, in situ, Secchi disc, inches",in
78,Physical,"Transparency, water, in situ, Secchi disc, meters",m
80,Physical,"Color, water, filtered, platinum cobalt units",PCU
81,Physical,"Apparent color, water, unfiltered, platinum-cobalt units",PCU
85,Physical,"Odor at room temperature, threshold odor number",TON
86,Physical,"Odor at 60 degrees Celsius, threshold odor number",TON
90,Physical,"Oxidation reduction potential, reference electrode not specified, millivolts",mV
94,Physical,"Specific conductance, water, unfiltered, field, microsiemens per centimeter at 25 degrees Celsius",uS/cm @25C
95,Physical,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius",uS/cm @25C
96,Physical,"Salinity, water, unfiltered, milligrams per milliliter at 25 degrees Celsius",mg/mL @25C
98,Information,"Sampling depth, meters",m
100,Information,"Time of travel, hours",hours
115,Information,"Sample treatment, code",code
117,Information,"Precipitation, duration of storm event, minutes",minutes
118,Physical,"Precipitation, cumulative at given time, location 6, inches",in
119,Physical,"Precipitation, cumulative at given time, location 5, inches",in
120,Physical,"Precipitation, cumulative at given time, location 4, inches",in
121,Physical,"Precipitation, cumulative at given time, location 3, inches",in
122,Physical,"Precipitation, cumulative at given time, location 2, inches",in
123,Physical,"Precipitation, cumulative at given time, location 1, inches",in
124,Physical,"Precipitation, intensity at given time, location 6, inches per hour",in/hr
125,Physical,"Precipitation, intensity at given time, location 5, inches per hour",in/hr
126,Physical,"Precipitation, intensity at given time, location 4, inches per hour",in/hr
127,Physical,"Precipitation, intensity at given time, location 3, inches per hour",in/hr
128,Physical,"Precipitation, intensity at given time, location 2, inches per hour",in/hr
129,Physical,"Precipitation, intensity at given time, location 1, inches per hour",in/hr
132,Information,"Dry days before precipitation event, days",days
134,Information,Storm event serial number,nu
135,Information,"Elapsed time of storm, hours",hours
149,Radiochemical,"Alpha-emitting isotopes of radium, water, filtered, picocuries per liter",pCi/L
164,Physical,"Flow, gallons per batch",gal/batch
191,"Inorganics, Major, Non-metals","Hydrogen ion, water, unfiltered, calculated, milligrams per liter",mg/l
193,Physical,"Precipitation total for defined period, inches",in
196,Physical,"Wind run, miles",mi
197,Physical,"Evaporation, accumulated, inches",in
198,Physical,"Depth to 10 percent of surface light, feet",ft
199,Physical,"Depth to 50 percent of surface light, feet",ft
200,Physical,"Incident light intensity, 400-700 nanometers, microeinsteins per square meter per second",uE/m2/sec
201,Physical,"Incident light, daily total, 400-700 nanometers, microeinsteins per square meter",uEinst/m2
206,Information,"Collector area, wet atmospheric deposition, square meters",m2
207,Information,"Collector area, dry atmospheric deposition, square meters",m2
294,Physical,"Chemical oxygen demand, soluble, dry atmospheric deposition, milligrams per kilogram",mg/kg
297,Physical,"Chemical oxygen demand, total, dry atmospheric deposition, milligrams per kilogram",mg/kg
300,"Inorganics, Major, Non-metals","Dissolved oxygen, water, unfiltered, milligrams per liter",mg/l
301,"Inorganics, Major, Non-metals","Dissolved oxygen, water, unfiltered, percent of saturation",% saturatn
302,Physical,"Immediate oxygen demand, water, unfiltered, 20 degrees Celsius, milligrams per liter",mg/l
310,Physical,"Biochemical oxygen demand, water, unfiltered, 5 days at 20 degrees Celsius, milligrams per liter",mg/l
315,Physical,"Biochemical oxygen demand, water, unfiltered, 7 days at 20 degrees Celsius, milligrams per liter",mg/l
319,Physical,"Ultimate biochemical oxygen demand, water, unfiltered, 20 degrees Celsius, milligrams per liter",mg/l
320,Physical,"Ultimate carbonaceous biochemical oxygen demand, water, unfiltered, 20 degrees Celsius, milligrams per liter",mg/l
321,Physical,"Ultimate nitrogenous biochemical oxygen demand, water, unfiltered, milligrams per liter",mg/l
324,Physical,"Biochemical oxygen demand, water, unfiltered, 20 days at 20 degrees Celsius, milligrams per liter",mg/l
325,Physical,"Deoxygenation constant (k1 to base e), biochemical oxygen demand, water, unfiltered, 20 degrees Celsius, per day",per day
330,Physical,"Reoxygenation constant (k2 to base e), biochemical oxygen demand, water, unfiltered, 20 degrees Celsius, per day",per day
335,Physical,"Chemical oxygen demand, low level, water, unfiltered, milligrams per liter",mg/l
339,Physical,"Chemical oxygen demand, bed sediment, total, dry weight, milligrams per kilogram",mg/kg
340,Physical,"Chemical oxygen demand, high level, water, unfiltered, milligrams per liter",mg/l
349,Physical,"Biochemical oxygen demand, water, unfiltered, 30 days at 20 degrees Celsius, milligrams per liter",mg/l
359,Physical,"Biochemical oxygen demand, water, filtered, 5 days at 20 degrees Celsius, milligrams per liter",mg/l
367,Physical,"Chemical oxygen demand, low level, water, filtered, milligrams per liter",mg/l
400,Physical,"pH, water, unfiltered, field, standard units",std units
401,Physical,"Cations minus anions, water, milliequivalents",meq
402,Physical,"Specific conductance, non-temperature corrected, water, unfiltered, microsiemens per centimeter",uS/cm
403,Physical,"pH, water, unfiltered, laboratory, standard units",std units
405,"Inorganics, Major, Non-metals","Carbon dioxide, water, unfiltered, milligrams per liter",mg/l
408,Physical,"pH, water, filtered, laboratory, standard units",std units
409,"Inorganics, Major, Non-metals","Acid neutralizing capacity, water, unfiltered, Gran titration, microequivalents per liter",ueq/L
410,"Inorganics, Major, Non-metals","Acid neutralizing capacity, water, unfiltered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate",mg/l CaCO3
411,"Inorganics, Major, Non-metals","Acid neutralizing capacity, water, unfiltered, methyl orange endpoint (pH 3.1-4.4) titration, milligrams per liter as calcium carbonate",mg/l CaCO3
413,"Inorganics, Major, Non-metals","Acid neutralizing capacity, water, unfiltered, Gran titration, milligrams per liter as calcium carbonate",mg/l CaCO3
415,"Inorganics, Major, Non-metals","Acid neutralizing capacity, water, unfiltered, phenolphthalein endpoint (pH 8.5-9.0) titration, milligrams per liter as calcium carbonate",mg/l CaCO3
416,"Inorganics, Major, Non-metals","Acid neutralizing capacity, water, unfiltered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter as calcium carbonate",mg/l CaCO3
417,"Inorganics, Major, Non-metals","Acid neutralizing capacity, water, unfiltered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate",mg/l CaCO3
418,"Inorganics, Major, Non-metals","Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate",mg/l CaCO3
419,"Inorganics, Major, Non-metals","Acid neutralizing capacity, water, unfiltered, inflection-point titration method (incremental titration method), field, milligrams per liter as calcium carbonate",mg/l CaCO3
420,"Inorganics, Major, Non-metals","Hydroxide, water, unfiltered, milligrams per liter",mg/l
421,"Inorganics, Major, Non-metals","Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate",mg/l CaCO3
425,"Inorganics, Major, Non-metals","Bicarbonate, water, unfiltered, milligrams per liter as calcium carbonate",mg/l CaCO3
430,"Inorganics, Major, Non-metals","Carbonate, water, unfiltered, milligrams per liter as calcium carbonate",mg/l CaCO3
431,"Inorganics, Major, Non-metals","Acid neutralizing capacity, water, unfiltered, milligrams per liter as calcium carbonate",mg/l CaCO3
434,Physical,"pH adjusted to 25 degrees Celsius, water, laboratory, standard units",std units
435,"Inorganics, Major, Non-metals","Acidity, water, unfiltered, milligrams per liter as calcium carbonate",mg/l CaCO3
436,"Inorganics, Major, Non-metals","Mineral acidity, water, unfiltered, methyl orange endpoint (pH 3.1-4.4) titration, milligrams per liter as calcium carbonate",mg/l CaCO3
437,"Inorganics, Major, Non-metals","Carbon dioxide acidity, water, unfiltered, phenolphthalein endpoint (pH 8.5-9.0) titration, milligrams per liter as calcium carbonate",mg/l CaCO3
440,"Inorganics, Major, Non-metals","Bicarbonate, water, unfiltered, fixed endpoint (pH 4.5) titration, field, milligrams per liter",mg/l
445,"Inorganics, Major, Non-metals","Carbonate, water, unfiltered, fixed endpoint (pH 8.3) titration, field, milligrams per liter",mg/l
446,"Inorganics, Major, Non-metals","Carbonate, water, unfiltered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter",mg/l
447,"Inorganics, Major, Non-metals","Carbonate, water, unfiltered, inflection-point titration method (incremental titration method), field, milligrams per liter",mg/l
448,"Inorganics, Major, Non-metals","Carbonate, water, unfiltered, fixed endpoint (pH 8.3) titration, laboratory, milligrams per liter",mg/l
449,"Inorganics, Major, Non-metals","Bicarbonate, water, unfiltered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter",mg/l
450,"Inorganics, Major, Non-metals","Bicarbonate, water, unfiltered, inflection-point titration method (incremental titration method), field, milligrams per liter",mg/l
451,"Inorganics, Major, Non-metals","Bicarbonate, water, unfiltered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter",mg/l
452,"Inorganics, Major, Non-metals","Carbonate, water, filtered, inflection-point titration method (incremental titration method), field, milligrams per liter",mg/l
453,"Inorganics, Major, Non-metals","Bicarbonate, water, filtered, inflection-point titration method (incremental titration method), field, milligrams per liter",mg/l
480,Physical,"Salinity, water, unfiltered, parts per thousand",ppth
495,Physical,"Moisture content, solids, fraction of dry weight, percent",%
496,Sediment,"Loss on ignition, bed sediment, milligrams per kilogram",mg/kg
500,Physical,"Total solids dried at 105 degrees Celsius, water, unfiltered, milligrams per liter",mg/l
505,Physical,"Loss on ignition of total solids, water, unfiltered, milligrams per liter",mg/l
510,Physical,"Total solids remaining after ignition, water, unfiltered, milligrams per liter",mg/l
515,Physical,"Dissolved solids dried at 105 degrees Celsius, water, filtered, milligrams per liter",mg/l
520,Physical,"Loss on ignition of dissolved solids, water, filtered, milligrams per liter",mg/l
525,Physical,"Dissolved solids remaining after ignition, water, filtered, milligrams per liter",mg/l
530,Physical,"Suspended solids, water, unfiltered, milligrams per liter",mg/l
535,Physical,"Loss on ignition of suspended solids, water, unfiltered, milligrams per liter",mg/l
540,Physical,"Suspended solids remaining after ignition, water, unfiltered, milligrams per liter",mg/l
545,Physical,"Settleable solids, water, unfiltered, milligrams per liter",mg/l
548,Physical,"Non-settleable solids remaining after ignition, milligrams per liter",mg/l
549,Physical,"Loss on ignition of non-settleable solids, milligrams per liter",mg/l
550,"Organics, Other","Oil and grease, water, unfiltered, recoverable, milligrams per liter",mg/l
551,"Organics, Other","Petroleum hydrocarbons, water, unfiltered, CCl4 extraction, infrared chromatography, recoverable, milligrams per liter",mg/l
552,"Organics, Other","Oil and grease, water, unfiltered, hexane extraction, recoverable, milligrams per liter",mg/l
553,"Organics, Other","Oil and grease, bed sediment, hexane extraction, recoverable, dry weight, milligrams per kilogram",mg/kg
556,"Organics, Other","Oil and grease, water, unfiltered, freon extraction, gravimetric, recoverable, milligrams per liter",mg/l
557,"Organics, Other","Oil and grease, bed sediment, freon extraction, gravimetric, recoverable, dry weight, milligrams per kilogram",mg/kg
560,"Organics, Other","Oil and grease, water, unfiltered, freon extraction, electrometric infrared, recoverable, milligrams per liter",mg/l
572,Biological,"Biomass, periphyton, ash weight, grams per square meter",g/m2
573,Biological,"Biomass, periphyton, dry weight, grams per square meter",g/m2
597,"Inorganics, Major, Non-metals","Dinitrogen, water, unfiltered, milligrams per liter",mg/l
598,"Inorganics, Major, Non-metals","Dinitrogen, water, unfiltered, percent of saturation",%
600,Nutrient,"Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, unfiltered, milligrams per liter",mg/l
601,Nutrient,"Total nitrogen [nitrate + nitrite + ammonia + organic-N], suspended sediment, total, milligrams per liter",mg/l
602,Nutrient,"Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, filtered, milligrams per liter",mg/l
603,Nutrient,"Total nitrogen [nitrate + nitrite + ammonia + organic-N], bed sediment, total, dry weight, milligrams per kilogram",mg/kg
604,Nutrient,"Ammonia (NH3 + NH4+), suspended sediment, total, milligrams per liter as nitrogen",mg/l as N
605,Nutrient,"Organic nitrogen, water, unfiltered, milligrams per liter as nitrogen",mg/l
606,Nutrient,"Organic nitrogen, suspended sediment, total, milligrams per liter as nitrogen",mg/l
607,Nutrient,"Organic nitrogen, water, filtered, milligrams per liter as nitrogen",mg/l
608,Nutrient,"Ammonia (NH3 + NH4+), water, filtered, milligrams per liter as nitrogen",mg/l as N
610,Nutrient,"Ammonia (NH3 + NH4+), water, unfiltered, milligrams per liter as nitrogen",mg/l as N
611,Nutrient,"Ammonia (NH3 + NH4+), bed sediment, total, dry weight, milligrams per kilogram as nitrogen",mg/kg as N
613,Nutrient,"Nitrite, water, filtered, milligrams per liter as nitrogen",mg/l as N
615,Nutrient,"Nitrite, water, unfiltered, milligrams per liter as nitrogen",mg/l as N
616,Nutrient,"Nitrite, bed sediment, total, dry weight, milligrams per kilogram as nitrogen",mg/kg as N
618,Nutrient,"Nitrate, water, filtered, milligrams per liter as nitrogen",mg/l as N
619,Nutrient,"Ammonia (un-ionized), water, unfiltered, calculated, milligrams per liter as nitrogen",mg/l as N
620,Nutrient,"Nitrate, water, unfiltered, milligrams per liter as nitrogen",mg/l as N
621,Nutrient,"Nitrate, bed sediment, total, dry weight, milligrams per kilogram as nitrogen",mg/kg as N
623,Nutrient,"Ammonia plus organic nitrogen, water, filtered, milligrams per liter as nitrogen",mg/l as N
624,Nutrient,"Ammonia plus organic nitrogen, suspended sediment, total, milligrams per liter as nitrogen",mg/l as N
625,Nutrient,"Ammonia plus organic nitrogen, water, unfiltered, milligrams per liter as nitrogen",mg/l as N
626,Nutrient,"Ammonia plus organic nitrogen, bed sediment, total, dry weight, milligrams per kilogram as nitrogen",mg/kg as N
630,Nutrient,"Nitrate plus nitrite, water, unfiltered, milligrams per liter as nitrogen",mg/l as N
631,Nutrient,"Nitrate plus nitrite, water, filtered, milligrams per liter as nitrogen",mg/l as N
633,Nutrient,"Nitrate plus nitrite, bed sediment, total, dry weight, milligrams per kilogram as nitrogen",mg/kg as N
635,Nutrient,"Ammonia plus organic nitrogen, water, unfiltered, milligrams per liter as nitrogen",mg/l as N
636,Nutrient,"Ammonia plus organic nitrogen, water, filtered, milligrams per liter as nitrogen",mg/l as N
639,Nutrient,"Albuminoid nitrogen, water, unfiltered, milligrams per liter as nitrogen",mg/l as N
650,Nutrient,"Phosphate, water, unfiltered, milligrams per liter as PO4",mg/l
653,Nutrient,"Phosphate, water, filtered, milligrams per liter as PO4",mg/l
660,Nutrient,"Orthophosphate, water, filtered, milligrams per liter as PO4",mg/l asPO4
662,Nutrient,"Phosphorus, water, unfiltered, recoverable, micrograms per liter as phosphorus",ug/l as P
665,Nutrient,"Phosphorus, water, unfiltered, milligrams per liter as phosphorus",mg/l as P
666,Nutrient,"Phosphorus, water, filtered, milligrams per liter as phosphorus",mg/l as P
667,Nutrient,"Phosphorus, suspended sediment, total, milligrams per liter as phosphorus",mg/l as P
668,Nutrient,"Phosphorus, bed sediment, total, dry weight, milligrams per kilogram as phosphorus",mg/kg as P
669,Nutrient,"Hydrolyzable phosphorus, water, unfiltered, milligrams per liter as phosphorus",mg/l as P
670,Nutrient,"Organic phosphorus, water, unfiltered, milligrams per liter as phosphorus",mg/l as P
671,Nutrient,"Orthophosphate, water, filtered, milligrams per liter as phosphorus",mg/l as P
672,Nutrient,"Hydrolyzable phosphorus, water, filtered, milligrams per liter as phosphorus",mg/l as P
673,Nutrient,"Organic phosphorus, water, filtered, milligrams per liter as phosphorus",mg/l as P
674,Nutrient,"Orthophosphate, suspended sediment, total, milligrams per liter as phosphorus",mg/l as P
675,Nutrient,"Hydrolyzable phosphorus, suspended sediment, total, milligrams per liter as phosphorus",mg/l as P
676,Nutrient,"Organic phosphorus, suspended sediment, total, milligrams per liter as phosphorus",mg/l as P
677,Nutrient,"Hydrolyzable phosphorus plus orthophosphate, water, filtered, milligrams per liter as phosphorus",mg/l as P
678,Nutrient,"Hydrolyzable phosphorus plus orthophosphate, water, unfiltered, milligrams per liter as phosphorus",mg/l as P
680,"Organics, Other","Organic carbon, water, unfiltered, milligrams per liter",mg/l
681,"Organics, Other","Organic carbon, water, filtered, milligrams per liter",mg/l
682,"Inorganics, Major, Non-metals","Carbon [inorganic plus organic], water, filtered, milligrams per liter",mg/l
683,"Organics, Other","Organic carbon, suspended sediment, dry weight, milligrams per kilogram",mg/kg
685,"Inorganics, Major, Non-metals","Inorganic carbon, water, unfiltered, milligrams per liter",mg/l
686,"Inorganics, Major, Non-metals","Inorganic carbon, bed sediment, total, dry weight, grams per kilogram",g/kg
687,"Organics, Other","Organic carbon, bed sediment, total, dry weight, grams per kilogram",g/kg
688,"Inorganics, Major, Non-metals","Inorganic carbon, suspended sediment, total, milligrams per liter",mg/l
689,"Organics, Other","Organic carbon, suspended sediment, total, milligrams per liter",mg/l
690,"Inorganics, Major, Non-metals","Carbon [inorganic plus organic], water, unfiltered, milligrams per liter",mg/l
691,"Inorganics, Major, Non-metals","Inorganic carbon, water, filtered, milligrams per liter",mg/l
692,"Organics, Other","Immiscible organic carbon, water, unfiltered, milligrams per liter",mg/l
693,"Inorganics, Major, Non-metals","Carbon [inorganic plus organic], bed sediment, total, dry weight, grams per kilogram",g/kg
694,"Inorganics, Major, Non-metals","Carbon [inorganic plus organic], suspended sediment, total, milligrams per liter",mg/l
697,"Organics, Other","Acetic acid, water, unfiltered, recoverable, milligrams per liter",mg/l
709,"Inorganics, Major, Non-metals","Fluorine, adsorbable organic, water, unfiltered, nanograms per liter",ng/l
710,"Inorganics, Major, Non-metals","Fluorine, solids, dry weight, nanograms per kilogram",ng/kg
711,"Inorganics, Major, Non-metals","Fluorine, biota, tissue, wet weight, nanograms per kilogram",ng/kg
712,"Inorganics, Major, Non-metals","Fluorine, extractable organic, solids, dry weight, nanograms per kilogram",ng/kg
713,"Inorganics, Major, Non-metals","Fluorine, extractable organic, biota, tissue, wet weight, nanograms per kilogram",ng/kg
714,"Inorganics, Major, Non-metals","Fluorine, extractable organic, water, unfiltered, nanograms per liter",ng/l
715,"Inorganics, Minor, Non-metals","Cyanide, free, soil, dry weight, milligrams per kilogram",mg/kg
716,"Inorganics, Minor, Non-metals","Cyanide, free, bed sediment, dry weight, milligrams per kilogram",mg/kg
717,"Inorganics, Minor, Non-metals","Cyanide, weak acid, dissociable, water, filtered, micrograms per liter",ug/l
718,"Inorganics, Minor, Non-metals","Cyanide, weak acid, dissociable, water, unfiltered, micrograms per liter",ug/l
720,"Inorganics, Minor, Non-metals","Cyanide, water, unfiltered, milligrams per liter",mg/l
721,"Inorganics, Minor, Non-metals","Cyanide, bed sediment, total, dry weight, milligrams per kilogram",mg/kg
722,"Inorganics, Minor, Non-metals","Cyanide, free, amenable to chlorination, water, unfiltered, milligrams per liter",mg/l
723,"Inorganics, Minor, Non-metals","Cyanide, water, filtered, milligrams per liter",mg/l
730,"Inorganics, Minor, Non-metals","Thiocyanate, water, unfiltered, milligrams per liter",mg/l
740,"Inorganics, Minor, Non-metals","Sulfite, water, unfiltered, milligrams per liter",mg/l
745,"Inorganics, Major, Non-metals","Sulfide, water, unfiltered, milligrams per liter",mg/l
746,"Inorganics, Major, Non-metals","Sulfide, water, filtered, milligrams per liter",mg/l
900,Physical,"Hardness, water, milligrams per liter as calcium carbonate",mg/l CaCO3
901,Physical,"Carbonate hardness, water, unfiltered, milligrams per liter as calcium carbonate",mg/l CaCO3
902,Physical,"Noncarbonate hardness, water, unfiltered, field, milligrams per liter as calcium carbonate",mg/l CaCO3
903,Physical,"Noncarbonate hardness, water, unfiltered, lab, milligrams per liter as calcium carbonate",mg/l CaCO3
904,Physical,"Noncarbonate hardness, water, filtered, field, milligrams per liter as calcium carbonate",mg/l CaCO3
905,Physical,"Noncarbonate hardness, water, filtered, lab, milligrams per liter as calcium carbonate",mg/l CaCO3
906,Physical,"Hardness, water, filtered, calculated, milligrams per liter as calcium carbonate",mg/l CaCO3
907,Physical,"Hardness, water, unfiltered, calculated, milligrams per liter as calcium carbonate",mg/l CaCO3
908,Physical,"Hardness, water, filtered, measured, milligrams per liter as calcium carbonate",mg/l CaCO3
909,Physical,"Hardness, water, unfiltered, measured, milligrams per liter as calcium carbonate",mg/l CaCO3
910,"Inorganics, Major, Metals","Calcium, water, unfiltered, milligrams per liter as calcium carbonate",mg/l CaCO3
915,"Inorganics, Major, Metals","Calcium, water, filtered, milligrams per liter",mg/l
916,"Inorganics, Major, Metals","Calcium, water, unfiltered, recoverable, milligrams per liter",mg/l
917,"Inorganics, Major, Metals","Calcium, bed sediment, recoverable, dry weight, milligrams per kilogram",mg/kg
918,"Inorganics, Major, Metals","Calcium, water, unfiltered, recoverable, milligrams per liter",mg/l
920,"Inorganics, Major, Metals","Magnesium, water, unfiltered, milligrams per liter as calcium carbonate",mg/l CaCO3
921,"Inorganics, Major, Metals","Magnesium, water, unfiltered, recoverable, milligrams per liter",mg/l
923,"Inorganics, Major, Metals","Sodium, water, unfiltered, recoverable, milligrams per liter",mg/l
924,"Inorganics, Major, Metals","Magnesium, bed sediment, recoverable, dry weight, milligrams per kilogram",mg/kg
925,"Inorganics, Major, Metals","Magnesium, water, filtered, milligrams per liter",mg/l
926,"Inorganics, Major, Metals","Magnesium, suspended sediment, total, milligrams per liter",mg/l
927,"Inorganics, Major, Metals","Magnesium, water, unfiltered, recoverable, milligrams per liter",mg/l
929,"Inorganics, Major, Metals","Sodium, water, unfiltered, recoverable, milligrams per liter",mg/l
930,"Inorganics, Major, Metals","Sodium, water, filtered, milligrams per liter",mg/l
931,"Inorganics, Major, Metals","Sodium adsorption ratio (SAR), water, number",
932,"Inorganics, Major, Metals","Sodium fraction of cations, water, percent in equivalents of major cations",%
933,"Inorganics, Major, Metals","Sodium plus potassium, water, filtered, milligrams per liter as sodium",mg/l as Na
934,"Inorganics, Major, Metals","Sodium, bed sediment, recoverable, dry weight, milligrams per kilogram",mg/kg
935,"Inorganics, Major, Metals","Potassium, water, filtered, milligrams per liter",mg/l
937,"Inorganics, Major, Metals","Potassium, water, unfiltered, recoverable, milligrams per liter",mg/l
938,"Inorganics, Major, Metals","Potassium, bed sediment, recoverable, dry weight, milligrams per kilogram",mg/kg
939,"Inorganics, Major, Metals","Potassium, water, unfiltered, recoverable, milligrams per liter",mg/l
940,"Inorganics, Major, Non-metals","Chloride, water, filtered, milligrams per liter",mg/l
945,"Inorganics, Major, Non-metals","Sulfate, water, filtered, milligrams per liter",mg/l
946,"Inorganics, Major, Non-metals","Sulfate, water, unfiltered, milligrams per liter",mg/l
950,"Inorganics, Major, Non-metals","Fluoride, water, filtered, milligrams per liter",mg/l
951,"Inorganics, Major, Non-metals","Fluoride, water, unfiltered, milligrams per liter",mg/l
953,"Inorganics, Major, Non-metals","Fluorine, water, unfiltered, micrograms per liter",ug/l
954,"Inorganics, Major, Non-metals","Silica, water, unfiltered, recoverable, micrograms per liter as SiO2",ug/l
955,"Inorganics, Major, Non-metals","Silica, water, filtered, milligrams per liter as SiO2",mg/l
956,"Inorganics, Major, Non-metals","Silica, water, unfiltered, milligrams per liter as SiO2",mg/l
978,"Inorganics, Minor, Non-metals","Arsenic, water, unfiltered, recoverable, micrograms per liter",ug/l
985,"Inorganics, Minor, Metals","Vanadium, water, unfiltered, recoverable, micrograms per liter",ug/l
997,"Inorganics, Minor, Non-metals","Inorganic arsenic, water, unfiltered, micrograms per liter as arsenic",ug/l
998,"Inorganics, Minor, Metals","Beryllium, water, unfiltered, recoverable, micrograms per liter",ug/l
999,"Inorganics, Minor, Non-metals","Boron, water, unfiltered, recoverable, micrograms per liter",ug/l
1000,"Inorganics, Minor, Non-metals","Arsenic, water, filtered, micrograms per liter",ug/l
1001,"Inorganics, Minor, Non-metals","Arsenic, suspended sediment, total, micrograms per liter",ug/l
1002,"Inorganics, Minor, Non-metals","Arsenic, water, unfiltered, micrograms per liter",ug/l
1003,"Inorganics, Minor, Non-metals","Arsenic, bed sediment, total digestion, dry weight, milligrams per kilogram",mg/kg
1005,"Inorganics, Minor, Metals","Barium, water, filtered, micrograms per liter",ug/l
1006,"Inorganics, Minor, Metals","Barium, suspended sediment, recoverable, micrograms per liter",ug/l
1007,"Inorganics, Minor, Metals","Barium, water, unfiltered, recoverable, micrograms per liter",ug/l
1008,"Inorganics, Minor, Metals","Barium, bed sediment, recoverable, dry weight, milligrams per kilogram",mg/kg
1009,"Inorganics, Minor, Metals","Barium, water, unfiltered, recoverable, micrograms per liter",ug/l
1010,"Inorganics, Minor, Metals","Beryllium, water, filtered, micrograms per liter",ug/l
1011,"Inorganics, Minor, Metals","Beryllium, suspended sediment, recoverable, micrograms per liter",ug/l
1012,"Inorganics, Minor, Metals","Beryllium, water, unfiltered, recoverable, micrograms per liter",ug/l
1013,"Inorganics, Minor, Metals","Beryllium, bed sediment, recoverable, dry weight, milligrams per kilogram",mg/kg
1015,"Inorganics, Minor, Metals","Bismuth, water, filtered, micrograms per liter",ug/l
1016,"Inorganics, Minor, Metals","Bismuth, suspended sediment, micrograms per liter",ug/l
1017,"Inorganics, Minor, Metals","Bismuth, water, unfiltered, micrograms per liter",ug/l
1020,"Inorganics, Minor, Non-metals","Boron, water, filtered, micrograms per liter",ug/l
